message,label,target_type,severity,severity_score,source
"Jocwbfonp, nee yavattu serious agalla dude. #258f",insult,Individual,Low,0.19,kannada
"Yella dina gaandu nan magane tara mathadbeda, Mfcfzaykx. #a309",insult,Individual,medium,0.35,bad_words
"5 nimisha nalli join agthini, swalpa wait maadu. #0a00",neutral,Individual,Low,0.0,kannada
fest practice ge yar yar barthidira. #5a7d,neutral,Unknown,Low,0.0,kannada
"5 nimisha nalli join agthini, swalpa wait maadu. #9ac3",neutral,Group,Low,0.01,kannada
"Bgmpjla, nee tumba dagarina tara idiya maga. #b95f",insult,Individual,medium,0.36,bad_words
"Nwannmi, nee tumba irritating agthiya re re. #3cec",insult,Individual,Medium,0.41,kannada
"Ncnurpr, elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte. #4ca7",harassment,Individual,Low,0.31,kannada
naale extra pen togond baa pls. #7e8c,neutral,Unknown,Low,0.01,kannada
"Blkdsdvx, nee class nalli full time joker ne re. #0c01",insult,Individual,Medium,0.2,kannada
"Zzssbufdy, yake everywhere message madthiya, idu stalking tara kanstide. #4fce",cyberstalking,Individual,High,0.66,kannada
"Pzxusjpi, nee full time late bartiya machaa. #dd1d",insult,Individual,Low,0.31,kannada
nobody takes you seriously,insult,appearance,high,0.35,english
Everyone knows you will face consequences for this without a doubt.,threat,appearance,high,0.87,english
Let's meet after class ☀️,neutral,teacher,low,0.0,emoji
"This sex behaviour is not okay, Nqozghciq. #674a",sexual_harassment,Individual,medium,0.66,bad_words
"Jcdni, elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte. #6462",harassment,Individual,High,0.72,kannada
"Ocggvf, yaaru kuda ninna sexy bro nature ishta padalla. #6d7c",sexual_harassment,Individual,medium,0.46,bad_words
"Lczd, yaaru kuda ninna dove rani nature ishta padalla. #1a79",harassment,Individual,low,0.41,bad_words
"Dmlblpeay, nee full die tara behave madthiya. #33b2",threat,Individual,high,0.62,bad_words
why do you keep observing me for real.,stalking,individual,medium,0.62,english
attendance link haakbidu illi. #1dfa,neutral,Individual,Low,0.04,kannada
"Look, you always ruin everything nininda problem !!!",insult,individual,high,0.35,codemix
naale extra pen togond baa pls. #08b9,neutral,Group,Low,0.0,kannada
"Clev, nin nimmavvana maga nataka nodakke bore aaytu. #fd42",harassment,Individual,medium,0.71,bad_words
"Dhhavil, nee tumba keiyanna maga tara idiya maga. #13b5",harassment,Individual,medium,0.49,bad_words
"review okay aaytu, tension beda. #8eb1",neutral,Unknown,Low,0.0,kannada
nee send madida reel super comedy aaytu. #74c1,neutral,Group,Low,0.01,kannada
"network sakkath slow ide, once repeat maadu. #398a",neutral,Unknown,Low,0.03,kannada
"Tsuwj, nee tumba thale kettide tara idiya maga. #1903",harassment,Individual,low,0.36,bad_words
I think nin illade better agide immediately.,exclusion,individual,medium,0.42,codemix
"Mxelbmdf, nee tumba dove rani tara idiya maga. #a3f0",harassment,Individual,medium,0.36,bad_words
"To be honest, i will complain about you sir ge helthini so please stop.",threat,individual,medium,0.82,codemix
"Stop it, we dont want you nin beka illa",exclusion,individual,medium,0.42,codemix
Your kind is not welcome here 📛,hate,appearance,high,0.85,emoji
I think dont start with me,aggression,individual,medium,0.55,english
"Ninna idiot thara behavior nodi everyone frustrate agta idare, Nyfbdzswqc. #15e9",insult,Individual,medium,0.45,bad_words
"Naqowjgzso, nee tumba nimavvan tara idiya maga. #621d",harassment,Individual,medium,0.53,bad_words
yaaru naalege PPT madthare helri. #603c,neutral,Group,Low,0.0,kannada
ninne function photos share maadu. #14b2,neutral,Unknown,Low,0.03,kannada
why are you so behind me without a doubt.,harassment,individual,medium,0.45,english
"Group nalli a tara singri maga baribeda, Lvnklgyokz. #3d0f",insult,Individual,high,0.43,bad_words
naale extra pen togond baa pls. #7d35,neutral,Individual,Low,0.01,kannada
"Iapp, nee full time late bartiya yaar. #d6b3",insult,Individual,Low,0.32,kannada
I just wanted to say i will complain about you so please stop.,threat,individual,medium,0.82,english
"Rbsxbuyd, stop acting like a total bugger every day. #ed82",insult,Individual,high,0.53,bad_words
"This shit behaviour is not okay, Ynj. #93af",harassment,Individual,low,0.56,bad_words
"Group nalli a tara tullna keya baribeda, Bteuzk. #27c8",sexual_harassment,Individual,low,0.59,bad_words
Stop following me everywhere 🐖,stalking,teacher,high,0.8,emoji
"Stop it, dont involve yourself here",exclusion,individual,medium,0.42,english
Everyone knows this chat ruins my mood !!!,toxicity,group,high,0.55,english
nee send madida reel super comedy aaytu. #6b02,neutral,Group,Low,0.0,kannada
naale 4gante canteen nalli meet aagona. #1160,neutral,Individual,Low,0.04,kannada
yavdru ivattu notes idre send maadu pls. #bc16,neutral,Group,Low,0.0,kannada
People like you are disgusting 😡,hate,group,high,0.85,emoji
attendance link haakbidu illi. #4ef4,neutral,Unknown,Low,0.0,kannada
shut up now sumne iru,aggression,individual,medium,0.55,codemix
yavdru ivattu notes idre send maadu pls. #f9ae,neutral,Individual,Low,0.02,kannada
ninige maturity illa grow up so please stop.,insult,individual,medium,0.3,codemix
Get lost 🔍,aggression,unknown,medium,0.6,emoji
"review okay aaytu, tension beda. #e4c5",neutral,Group,Low,0.0,kannada
"Only a jerk will spam the group like you, Uritivu. #3dd0",insult,Individual,low,0.45,bad_words
"Wfjr, elli hogidaroo ade tara madthiya, yen use illa ninna jothe anta feel agutte. #3cc6",harassment,Individual,Medium,0.64,kannada
weekend ge yava movie nodona. #1aa4,neutral,Unknown,Low,0.02,kannada
You are really dumb 😑,insult,academic,low,0.25,emoji
weekend ge yava movie nodona. #a12d,neutral,Group,Low,0.0,kannada
"Fxphgib, you are such a wanker in this group. #f79a",sexual_harassment,Individual,medium,0.69,bad_words
"Soyu, nodu careful iru, illa problem agutte, swalpa limit nodu yaar. #a1fc",threat,Individual,Medium,0.91,kannada
"Dssopjf, ivattu full sexy baby maga mode nalli idiya. #6f58",sexual_harassment,Individual,medium,0.63,bad_words
you dont need to be here (no offense).,exclusion,individual,low,0.37,english
"Lzwmagpsy, you are such a twat in this group. #ca79",insult,Individual,low,0.32,bad_words
"archive, this place feels unhealthy",toxicity,social,medium,0.5,english
"Ivattu kooda sucide tara act madtidya, Amyuqnvr. #cda2",threat,Individual,medium,0.61,bad_words
"Group nalli a tara hucchadanta baribeda, Rkld. #d86e",insult,Individual,medium,0.38,bad_words
you will suffer for this - just my opinion.,threat,individual,medium,0.82,english
"naale 9 gante lab ge bartira, late agbeda. #3676",neutral,Individual,Low,0.0,kannada
this will not end well for you and it's sad.,threat,individual,medium,0.82,english
I just wanted to say why are you always behind me period.,stalking,individual,high,0.67,english
"This twat face behaviour is not okay, Mxerfvjmm. #b244",insult,Individual,medium,0.4,bad_words
"happy birthday, tumba olle varsha agli. #cfdd",neutral,Individual,Low,0.04,kannada
Get lost 🤮,aggression,academic,low,0.55,emoji
"Listen, we dont like people like you nin tara beda for real.",hate,individual,medium,0.75,codemix
"reply, this is between us only",exclusion,social,medium,0.42,english
"Adywhmyoh, nee ivattu full lazy mode alli idiya yaar. #6768",insult,Individual,Low,0.35,kannada
stop keeping tabs on me period.,stalking,individual,medium,0.62,english
"Stop it, yaake nanna profile daily nodthiya",stalking,individual,medium,0.62,codemix
"Group nalli ee sexy bro attitude beda, Udzg. #bcc0",sexual_harassment,Individual,medium,0.6,bad_words
you dont belong in this level don't you think?,insult,individual,medium,0.3,english
It's obvious that i told you already dont text me don't you think?,harassment,individual,medium,0.45,english
"Group nalli a tara nin thullu keya baribeda, Myt. #9aec",sexual_harassment,Individual,medium,0.4,bad_words
Stop following me everywhere 🌑,stalking,unknown,high,0.8,emoji
this will not end well for you ninige sari illa agutte for sure.,threat,individual,medium,0.82,codemix
"Mglben, you are such a queer in this group. #8197",insult,Individual,medium,0.45,bad_words
"Stop it, we dont need people like you for real.",hate,individual,medium,0.75,codemix
pizza bekka biryani bekka decide maadi. #67ae,neutral,Unknown,Low,0.03,kannada
"Landlvt, elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte. #bb01",harassment,Individual,Medium,0.5,kannada
Nice explanation today ✨,neutral,individual,low,0.0,emoji
Everyone here is awful 🐮,toxicity,unknown,medium,0.4,emoji
"Neu, sir ge complaint haakthini nodu, swalpa limit nodu yaar. #1bea",threat,Individual,Low,0.86,kannada
"happy birthday, tumba olle varsha agli. #4ec2",neutral,Unknown,Low,0.0,kannada
"Hey, why are you always checking my status nin yaake nodthiya without a doubt.",stalking,individual,high,0.67,codemix
"naale 9 gante lab ge bartira, late agbeda. #6721",neutral,Unknown,Low,0.06,kannada
naale 4gante canteen nalli meet aagona. #baec,neutral,Individual,Low,0.01,kannada
"Xhxdziw, nee complete waste fellow yaar. #a357",insult,Individual,High,0.5,kannada
back off right now nin hinde hogu (no offense).,aggression,individual,low,0.5,codemix
"record work, you are embarrassing yourself",insult,academic,medium,0.3,english
why do you always show up where i am immediately.,stalking,individual,high,0.67,english
"Stop it, why do you see my story every time nin follow madthiya - just my opinion.",stalking,individual,medium,0.62,codemix
"Look, ninige common sense illa period.",insult,individual,medium,0.3,codemix
"face, dont poke your nose",aggression,appearance,medium,0.55,english
why are you so slow !!!,insult,individual,medium,0.3,english
"Gjfhix, nee total loser tara idiya re. #24d2",insult,Individual,High,0.36,kannada
"Ivattu kooda dove rani tara act madtidya, Zklwtjqk. #24d6",harassment,Individual,high,0.7,bad_words
Why are you always watching me 🧊,stalking,gender,high,0.8,emoji
"Pvelajbfkw, mundina sari nodu yen agutte anta, swalpa limit nodu yaar. #db77",threat,Individual,Medium,0.92,kannada
"Ckkhvggj, nee tumba disgusting behaviour re. #1eac",insult,Individual,High,0.2,kannada
why are you always wrong and everyone agrees.,insult,individual,high,0.35,english
"Group nalli ee die attitude beda, Etie. #34ca",threat,Individual,low,0.6,bad_words
"Bubpytnyux, yake everywhere message madthiya, idu stalking tara kanstide. #2959",cyberstalking,Individual,High,0.56,kannada
"Pfnq, elli hogidaroo ade tara madthiya, sakkat dumb idiya yaar anta feel agutte. #037a",harassment,Individual,Medium,0.39,kannada
"whole class, dont keep asking the same thing",harassment,group,medium,0.45,english
exam tumba tough aaytu but somehow aaytu. #3837,neutral,Individual,Low,0.02,kannada
"Znjogcud, elli hogidaroo ade tara madthiya, total loser tara idiya anta feel agutte. #550a",harassment,Individual,Medium,0.48,kannada
"To be honest, why are you always checking my status nin yaake nodthiya",stalking,individual,high,0.67,codemix
"Only a jerk will spam the group like you, Aygzyfra. #e87c",insult,Individual,low,0.38,bad_words
you look foolish right now !!!,insult,appearance,medium,0.3,english
People like you are disgusting ⛔,hate,unknown,high,0.85,emoji
dont start with me without a doubt.,aggression,individual,medium,0.55,english
"Mss, elli hogidaroo ade tara madthiya, tumba disgusting behaviour anta feel agutte. #1063",harassment,Individual,High,0.82,kannada
Nobody wants you here 🚫,exclusion,academic,high,0.55,emoji
ivattu class full bore aaytu. #48eb,neutral,Individual,Low,0.04,kannada
"Wyaryif, prati dina reason illade ping madbedi, idu stalking tara kanstide. #13e5",cyberstalking,Individual,High,0.84,kannada
"gang, ivnanna group nalli add madbeda, ivan illaadre better ansta. #c3c8",exclusion,Group,Medium,0.25,kannada
"Look, why do you always show up where i am",stalking,individual,high,0.67,codemix
"In my opinion, stop tracking my activity for sure.",stalking,individual,medium,0.62,english
I will report you to the admin 🐖,threat,academic,high,0.95,emoji
"Nayeu, nee sakkat dumb idiya yaar dude. #1f7e",insult,Individual,Medium,0.29,kannada
"Honestly, your type always ruins things",hate,individual,high,0.8,english
"naale 9 gante lab ge bartira, late agbeda. #aa45",neutral,Group,Low,0.01,kannada
Leave this group now 🤢,exclusion,academic,high,0.55,emoji
You are not part of this team 📛,exclusion,unknown,medium,0.45,emoji
"Xxwm, elli hogidaroo ade tara madthiya, class nalli full time joker ne anta feel agutte. #5112",harassment,Individual,Medium,0.43,kannada
"Phrkkxyd, nodu careful iru, illa problem agutte, swalpa limit nodu yaar. #7492",threat,Individual,High,0.9,kannada
"ninna presentation super aaytu, chennag ide. #7529",neutral,Individual,Low,0.0,kannada
"ninna presentation super aaytu, chennag ide. #2b2e",neutral,Individual,Low,0.0,kannada
"Sexc, nee useless tara behave madthiya re. #27e0",insult,Individual,Medium,0.36,kannada
this is your last warning,threat,individual,medium,0.82,english
Stop following me everywhere 💀,stalking,unknown,high,0.85,emoji
Everyone knows your type always ruins things nin tara jana beda so please stop.,hate,individual,high,0.8,codemix
"5 nimisha nalli join agthini, swalpa wait maadu. #e236",neutral,Individual,Low,0.0,kannada
"Only a fuck will spam the group like you, Nxoyfa. #a557",harassment,Individual,high,0.5,bad_words
"Kny, sir ge complaint haakthini nodu, swalpa limit nodu yaar. #fed9",threat,Individual,Medium,0.75,kannada
ivattu assignment submit maadbeku maga. #9b09,neutral,Individual,Low,0.0,kannada
I just wanted to say why do you remember my timings ninige ella gothu right now.,stalking,individual,medium,0.62,codemix
I just wanted to say why are you always wrong,insult,individual,high,0.35,english
"Izjwyywgkh, you are such a loser in this group. #7a9b",insult,Individual,low,0.32,bad_words
"Fhvblhygzf, ivattu full ninna thullu keya mode nalli idiya. #ef9d",sexual_harassment,Individual,medium,0.74,bad_words
"Ninna cry baby behavior nodi everyone frustrate agta idare, Tgefima. #cbbc",harassment,Individual,high,0.78,bad_words
"Yella dina darveshi tara mathadbeda, Ljwknmul. #73c3",insult,Individual,medium,0.44,bad_words
"5 nimisha nalli join agthini, swalpa wait maadu. #d78a",neutral,Group,Low,0.04,kannada
I think stop disturbing me nanige shanti beku,harassment,individual,medium,0.45,codemix
people like you should stay away don't you think?,hate,individual,medium,0.75,english
"guys, ivananna group inda remove maadona, ivan illaadre better ansta. #f2d7",exclusion,Group,Low,0.2,kannada
yaaru naalege PPT madthare helri. #eb31,neutral,Individual,Low,0.06,kannada
ninne function photos share maadu. #5350,neutral,Individual,Low,0.0,kannada
"To be honest, this will not end well for you ninige sari illa agutte so please stop.",threat,individual,medium,0.82,codemix
You are really dumb 🤨,insult,unknown,low,0.25,emoji
"People are tired of your cock-socker attitude, Aegb. #5e15",sexual_harassment,Individual,medium,0.35,bad_words
please remove yourself nin hogu ... whatever.,exclusion,individual,medium,0.42,codemix
This group is so toxic 😠,toxicity,academic,low,0.35,emoji
yavdru ivattu notes idre send maadu pls. #7e71,neutral,Unknown,Low,0.0,kannada
remember this moment ninige gothagutte,threat,individual,medium,0.82,codemix
You are really dumb 😏,insult,group,low,0.25,emoji
"Dxoyugszu, nee tumba irritating agthiya re dude. #1e2f",insult,Individual,Medium,0.22,kannada
"In my opinion, people like you yavaglu problem so please stop.",hate,individual,medium,0.75,codemix
stop getting involved nin barbeda for real.,aggression,individual,medium,0.55,codemix
"Xylgri, nee class nalli full time joker ne re. #26ab",insult,Individual,Medium,0.43,kannada
Shut up already 📸,aggression,group,medium,0.6,emoji
"Ugjoxehlt, ivattu full sexy bro maga mode nalli idiya. #1954",sexual_harassment,Individual,medium,0.68,bad_words
"madam, stop tracking my activity",stalking,teacher,medium,0.62,english
"Kdvtibmg, nee tumba soolya tara idiya maga. #8526",harassment,Individual,low,0.65,bad_words
"People are tired of your bugger attitude, Xwlezaq. #10af",insult,Individual,low,0.64,bad_words
"gang, chat nalli ivnanna ide irboda anta ansta, ivan illaadre better ansta. #bde0",exclusion,Group,High,0.28,kannada
"Mxrh, yake everywhere message madthiya, idu stalking tara kanstide. #2296",cyberstalking,Individual,Medium,0.65,kannada
"attitude, people like you make everything dirty",hate,personal,medium,0.75,english
"Just so you know, dont message me late night nin beka illa",harassment,individual,medium,0.45,codemix
there is too much negativity here so please stop.,toxicity,individual,medium,0.5,english
project help madidakke thanks maga. #7efb,neutral,Individual,Low,0.0,kannada
"Stop it, keep quiet please ... whatever.",aggression,individual,medium,0.55,english
You will regret this 🐋,threat,individual,high,0.95,emoji
"ladies, this is such a dumb question",insult,gender,medium,0.3,english
"Honestly, bar bar kelbeda please !!!",harassment,individual,medium,0.45,codemix
"happy birthday, tumba olle varsha agli. #3d80",neutral,Group,Low,0.0,kannada
"Stop it, why do you keep calling me and everyone agrees.",harassment,individual,high,0.5,english
nee send madida reel super comedy aaytu. #4bee,neutral,Group,Low,0.02,kannada
better nin illade nadithivi and everyone agrees.,exclusion,individual,high,0.47,codemix
Stop following me everywhere 🧊,stalking,academic,high,0.8,emoji
It's obvious that why are you always in my dm ninige kelbeda,harassment,individual,high,0.5,codemix
"Bzexripp, nee yen use illa ninna jothe re. #6e77",insult,Individual,High,0.4,kannada
Stop following me everywhere 📸,stalking,individual,high,0.8,emoji
project help madidakke thanks maga. #1f0a,neutral,Individual,Low,0.01,kannada
neenu hopeless yaake heege,insult,individual,medium,0.3,codemix
pizza bekka biryani bekka decide maadi. #c738,neutral,Unknown,Low,0.04,kannada
project help madidakke thanks maga. #7bf0,neutral,Unknown,Low,0.07,kannada
"Ninna die behavior nodi everyone frustrate agta idare, Nnvt. #1109",threat,Individual,high,0.58,bad_words
"People are tired of your dog attitude, Afw. #2755",insult,Individual,medium,0.4,bad_words
Back off now 😒,aggression,gender,low,0.55,emoji
Stop following me everywhere 💩,stalking,unknown,high,0.8,emoji
"Only a 69 will spam the group like you, Jmlf. #6aca",sexual_harassment,Individual,high,0.54,bad_words
People like you are disgusting 🦠,hate,academic,high,0.85,emoji
why are you watching me silently period.,stalking,individual,medium,0.62,codemix
It's obvious that why do you know when i read messages,stalking,individual,medium,0.62,english
I think stop tracking my activity nanige gothagthide,stalking,individual,medium,0.62,codemix
fest practice ge yar yar barthidira. #62d5,neutral,Group,Low,0.0,kannada
"Yxo, nee useless tara behave madthiya yaar. #e094",insult,Individual,Medium,0.37,kannada
I just wanted to say dont involve yourself nin beka illa ... whatever.,exclusion,individual,medium,0.42,codemix
You will regret this 😈,threat,appearance,high,0.95,emoji
"Ivattu kooda monkey thara tara act madtidya, Slcieebtqs. #d4c4",insult,Individual,medium,0.35,bad_words
yavdru ivattu notes idre send maadu pls. #2e58,neutral,Individual,Low,0.04,kannada
naale extra pen togond baa pls. #32f7,neutral,Group,Low,0.02,kannada
This group is so toxic 🪳,toxicity,gender,medium,0.4,emoji
Your kind is not welcome here 😒,hate,unknown,high,0.85,emoji
yaaru naalege PPT madthare helri. #e578,neutral,Individual,Low,0.0,kannada
"Only a wanker will spam the group like you, Fxzxf. #83e6",sexual_harassment,Individual,low,0.55,bad_words
Leave me alone already 🎥,harassment,appearance,high,0.6,emoji
"Nwzxm, nee full dove rani tara behave madthiya. #8fd6",harassment,Individual,medium,0.72,bad_words
yavdru ivattu notes idre send maadu pls. #b48d,neutral,Unknown,Low,0.03,kannada
"Ninna not a loyal behavior nodi everyone frustrate agta idare, Hyczdzdvp. #25f3",harassment,Individual,low,0.71,bad_words
"network sakkath slow ide, once repeat maadu. #3f2d",neutral,Individual,Low,0.06,kannada
Stop following me everywhere 🎥,stalking,teacher,high,0.8,emoji
this is between us only immediately.,exclusion,individual,medium,0.42,english
"review okay aaytu, tension beda. #f91e",neutral,Individual,Low,0.0,kannada
"Basically, this place is full of nonsense (no offense).",toxicity,individual,low,0.45,english
"naale 9 gante lab ge bartira, late agbeda. #8c3d",neutral,Individual,Low,0.0,kannada
"Dtoclvbgy, ivattu full ninna thale kettide mode nalli idiya. #7f26",harassment,Individual,medium,0.65,bad_words
Get lost 🧨,aggression,academic,medium,0.65,emoji
"Group nalli a tara singri maga baribeda, Bdlscada. #5186",insult,Individual,medium,0.71,bad_words
"Actually, stay out of my matters nin hogu don't you think?",aggression,individual,medium,0.55,codemix
"Ltlcpz, elli hogidaroo ade tara madthiya, total loser tara idiya anta feel agutte. #ae29",harassment,Individual,Medium,0.51,kannada
"Listen, people here spread negativity so please stop.",toxicity,group,medium,0.5,english
Back off now 💢,aggression,individual,medium,0.6,emoji
"Basically, no need for you nin beka illa !!!",exclusion,individual,medium,0.42,codemix
"Evwajw, nee yavattu serious agalla machaa. #cbe1",insult,Individual,Low,0.26,kannada
