anon_id,message,label,target_type,severity,severity_score,source
ANON_0061,"[GROUP], you dont need to be here",exclusion,teacher,medium,0.42,english
ANON_0062,"[GROUP], mind your own business",aggression,group,medium,0.55,english
ANON_0063,"[CONTEXT], go mind your work",aggression,academic,medium,0.55,english
ANON_0064,"Hey, why do you remember my timings",stalking,individual,medium,0.62,english
ANON_0065,you are done now period.,threat,individual,medium,0.82,english
ANON_0066,"Stop it, why are you messaging me again so please stop.",harassment,individual,medium,0.45,english
ANON_0067,It's obvious that why are you so behind me,harassment,individual,medium,0.45,english
ANON_0068,Thanks for sharing the slides. Thanks.,neutral,unknown,medium,0.02,english
ANON_0069,"[GENDER], you are useless in group work",insult,gender,medium,0.3,english
ANON_0070,you are not invited to this,exclusion,individual,medium,0.42,english
ANON_0071,you are not invited to this so please stop.,exclusion,individual,medium,0.42,english
ANON_0072,When is the next lab session? Thanks.,neutral,unknown,medium,0.02,english
ANON_0073,"Hey, remember this moment period.",threat,gender,medium,0.82,english
ANON_0074,"In my opinion, use your brain once ... whatever.",insult,individual,medium,0.3,english
ANON_0075,When is the next lab session?,neutral,unknown,medium,0.02,english
ANON_0076,It's obvious that you will face consequences for this without a doubt.,threat,appearance,medium,0.82,english
ANON_0077,what are you even saying,insult,individual,medium,0.3,english
ANON_0078,stay out of this matter,exclusion,individual,medium,0.42,english
ANON_0079,I think please remove yourself,exclusion,individual,medium,0.42,english
ANON_0080,you dont belong in this level don't you think?,insult,individual,medium,0.3,english
ANON_0081,"[CONTEXT], stop chasing me for replies",harassment,social,medium,0.45,english
ANON_0082,"Basically, we are doing this without you",exclusion,individual,medium,0.42,english
ANON_0083,"Look, shut up now",aggression,appearance,medium,0.55,english
ANON_0084,keep quiet please and it's sad.,aggression,individual,medium,0.55,english
ANON_0085,"Actually, stop tracking my activity ... whatever.",stalking,individual,medium,0.62,english
ANON_0086,why do you always show up where i am,stalking,individual,high,0.67,english
ANON_0087,control yourself for real.,aggression,individual,medium,0.55,english
ANON_0088,Where can I find the syllabus? Thanks.,neutral,academic,medium,0.02,english
ANON_0089,stop irritating everyone right now.,aggression,individual,high,0.6,english
ANON_0090,"Hey, Does anyone understand this topic?",neutral,unknown,medium,0.02,english
ANON_0091,dont push me beyond my limit,threat,individual,medium,0.82,english
ANON_0092,your type should not be here (no offense).,hate,individual,low,0.7,english
ANON_0093,"[GROUP], dont keep asking the same thing",harassment,group,medium,0.45,english
ANON_0094,"Hey, Did anyone finish the assignment?",neutral,gender,medium,0.02,english
ANON_0095,"Seriously, stop monitoring what i do immediately.",stalking,individual,high,0.67,english
ANON_0096,people like you dont deserve respect,hate,individual,medium,0.75,english
ANON_0097,remember this moment immediately.,threat,gender,medium,0.82,english
ANON_0098,"[GROUP], dont start with me",aggression,group,medium,0.55,english
ANON_0099,"[CONTEXT], dont cross the line",aggression,academic,medium,0.55,english
ANON_0100,you are acting childish don't you think?,insult,individual,medium,0.3,english
ANON_0101,Everyone knows people like you never change immediately.,hate,individual,high,0.8,english
ANON_0102,we didnt include you on purpose and everyone agrees.,exclusion,individual,high,0.47,english
ANON_0103,"Honestly, your type always ruins things",hate,individual,high,0.8,english
ANON_0104,why are you watching my profile daily,stalking,teacher,medium,0.62,english
ANON_0105,"[GROUP], this group is too negative",toxicity,group,medium,0.5,english
ANON_0106,"To be honest, leave me alone seriously",harassment,individual,high,0.5,english
ANON_0107,"[GROUP], this chat is mentally draining",toxicity,group,medium,0.5,english
ANON_0108,"[CONTEXT], this place feels suffocating",toxicity,academic,medium,0.5,english
ANON_0109,"In my opinion, this place feels suffocating period.",toxicity,individual,medium,0.5,english
ANON_0110,"Hey, this doesnt concern you and it's annoying.",exclusion,individual,medium,0.42,english
ANON_0111,Can we meet after class? Thanks.,neutral,unknown,medium,0.02,english
ANON_0112,this place is full of nonsense - just my opinion.,toxicity,individual,medium,0.5,english
ANON_0113,Does anyone understand this topic? Thanks.,neutral,unknown,medium,0.02,english
ANON_0114,"Listen, stop disturbing me during class",harassment,individual,medium,0.45,english
ANON_0115,dont involve yourself here,exclusion,individual,medium,0.42,english
ANON_0116,I just wanted to say i cant stand people like you right now.,hate,individual,medium,0.75,english
ANON_0117,Did anyone finish the assignment? Thanks.,neutral,gender,medium,0.02,english
ANON_0118,"[APPEARANCE], you just dont get it",insult,appearance,medium,0.3,english
ANON_0119,"[CONTEXT], stop irritating everyone",aggression,social,high,0.6,english
ANON_0120,I think dont test my patience (no offense).,threat,academic,low,0.77,english
ANON_0121,"Just so you know, dont cross the line and it's sad.",aggression,individual,medium,0.55,english
ANON_0122,"[CONTEXT], you are embarrassing yourself",insult,academic,medium,0.3,english
ANON_0123,you dont need to be here (no offense).,exclusion,individual,low,0.37,english
ANON_0124,this chat is very unhealthy and it's annoying.,toxicity,group,medium,0.5,english
ANON_0125,dont test my patience for real.,threat,academic,medium,0.82,english
ANON_0126,Is the class online or offline tomorrow? Thanks.,neutral,social,medium,0.02,english
ANON_0127,Everyone knows dont follow up again please,harassment,individual,high,0.5,english
ANON_0128,"[CONTEXT], we dont like people like you",hate,academic,medium,0.75,english
ANON_0129,you dont belong in our circle,exclusion,individual,medium,0.42,english
ANON_0130,I just wanted to say you will suffer for this without a doubt.,threat,individual,medium,0.82,english
ANON_0131,"[CONTEXT], dont message me late night",harassment,social,medium,0.45,english
ANON_0132,"[APPEARANCE], you look foolish right now",insult,appearance,medium,0.3,english
ANON_0133,"Actually, this place feels unhealthy immediately.",toxicity,individual,medium,0.5,english
ANON_0134,"To be honest, this environment is really bad without a doubt.",toxicity,gender,medium,0.5,english
ANON_0135,"[CONTEXT], you asked for it",threat,social,medium,0.82,english
ANON_0136,"In my opinion, you will pay for what you did",threat,individual,medium,0.82,english
ANON_0137,"Basically, you are done now",threat,individual,medium,0.82,english
ANON_0138,control yourself,aggression,individual,medium,0.55,english
ANON_0139,"Listen, we dont like people like you !!!",hate,individual,medium,0.75,english
ANON_0140,"[CONTEXT], your kind is not welcome here",hate,personal,medium,0.75,english
ANON_0141,"Look, why are you always online when i come",stalking,appearance,high,0.67,english
ANON_0142,Everyone knows why are you checking my last seen and it's annoying.,stalking,social,high,0.67,english
ANON_0143,you will suffer for this - just my opinion.,threat,individual,medium,0.82,english
ANON_0144,"[GENDER], we are tired of people like you",hate,gender,medium,0.75,english
ANON_0145,you cant escape from this don't you think?,threat,individual,medium,0.82,english
ANON_0146,"Look, dont involve yourself here",exclusion,appearance,medium,0.42,english
ANON_0147,"Hey, i will complain about you",threat,individual,medium,0.82,english
ANON_0148,"Seriously, i will report this to [AUTHORITY] for real.",threat,teacher,high,0.87,english
ANON_0149,Does anyone understand this topic??,neutral,unknown,medium,0.02,english
ANON_0150,you dont need to be here for real.,exclusion,individual,medium,0.42,english
ANON_0151,"[USR], nee full time late bartiya dude.",insult,individual,low,0.17,kannada
ANON_0152,exam tumba tough aaytu but somehow aaytu.,neutral,individual,low,0,kannada
ANON_0153,"[USR], elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte.",harassment,individual,low,0.46,kannada
ANON_0154,"[USR], [AUTHORITY] ge complaint haakthini nodu, swalpa limit nodu yaar.",threat,individual,high,0.94,kannada
ANON_0155,"[USR], elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte.",harassment,individual,high,0.78,kannada
ANON_0156,"[USR], nee ivattu full lazy mode alli idiya yaar.",insult,individual,low,0.22,kannada
ANON_0157,naale extra pen togond baa pls.,neutral,unknown,low,0,kannada
ANON_0158,"network sakkath slow ide, once repeat maadu.",neutral,unknown,low,0.03,kannada
ANON_0159,"naale 9 gante lab ge bartira, late agbeda.",neutral,group,low,0.02,kannada
ANON_0160,pizza bekka biryani bekka decide maadi.,neutral,individual,low,0.02,kannada
ANON_0161,"[USR], nee sakkat dumb idiya yaar re.",insult,individual,medium,0.29,kannada
ANON_0162,fest practice ge yar yar barthidira.,neutral,group,low,0,kannada
ANON_0163,"[USR], nanna status na yavaglu check madthiya, idu stalking tara kanstide.",cyberstalking,individual,high,0.83,kannada
ANON_0164,weekend ge yava movie nodona.,neutral,individual,low,0,kannada
ANON_0165,"[USR], nee ivattu full lazy mode alli idiya machaa.",insult,individual,low,0.25,kannada
ANON_0166,project help madidakke thanks maga.,neutral,individual,low,0.03,kannada
ANON_0167,"[USR], nee full time late bartiya yaar.",insult,individual,low,0.15,kannada
ANON_0168,"[USR], prati dina reason illade ping madbedi, idu stalking tara kanstide.",cyberstalking,individual,high,0.83,kannada
ANON_0169,"[USR], nee sakkat dumb idiya yaar machaa.",insult,individual,medium,0.39,kannada
ANON_0170,"[USR], nee sakkat dumb idiya yaar re.",insult,individual,medium,0.39,kannada
ANON_0171,"[GROUP], ivananna group inda remove maadona, ivan illaadre better ansta.",exclusion,group,medium,0.36,kannada
ANON_0172,"[USR], nee reply nodoke tumba time togondiya yaar.",insult,individual,low,0.16,kannada
ANON_0173,"[USR], nee full time late bartiya machaa.",insult,individual,low,0.18,kannada
ANON_0174,"[USR], nee tumba irritating agthiya re re.",insult,individual,medium,0.41,kannada
ANON_0175,"[USR], nee sakkat dumb idiya yaar machaa.",insult,individual,medium,0.22,kannada
ANON_0176,"ninna presentation super aaytu, chennag ide.",neutral,unknown,low,0,kannada
ANON_0177,"[GROUP], ivananna group inda remove maadona, ivan illaadre better ansta.",exclusion,group,medium,0.45,kannada
ANON_0178,"[USR], nee tumba irritating agthiya re yaar.",insult,individual,medium,0.26,kannada
ANON_0179,"[USR], elli hogidaroo ade tara madthiya, class nalli full time joker ne anta feel agutte.",harassment,individual,medium,0.63,kannada
ANON_0180,exam tumba tough aaytu but somehow aaytu.,neutral,group,low,0.03,kannada
ANON_0181,"[USR], nee full time late bartiya machaa.",insult,individual,low,0.4,kannada
ANON_0182,"[USR], nee full time late bartiya yaar.",insult,individual,low,0.33,kannada
ANON_0183,"[USR], nee tumba disgusting behaviour machaa.",insult,individual,high,0.45,kannada
ANON_0184,"[USR], nee tumba irritating agthiya re re.",insult,individual,medium,0.26,kannada
ANON_0185,"5 nimisha nalli join agthini, swalpa wait maadu.",neutral,unknown,low,0.02,kannada
ANON_0186,"happy birthday, tumba olle varsha agli.",neutral,unknown,low,0.02,kannada
ANON_0187,"network sakkath slow ide, once repeat maadu.",neutral,unknown,low,0.01,kannada
ANON_0188,"[USR], nee useless tara behave madthiya yaar.",insult,individual,medium,0.26,kannada
ANON_0189,"5 nimisha nalli join agthini, swalpa wait maadu.",neutral,unknown,low,0.05,kannada
ANON_0190,"[USR], nee tumba irritating agthiya re machaa.",insult,individual,medium,0.26,kannada
ANON_0191,"[USR], elli hogidaroo ade tara madthiya, useless tara behave madthiya anta feel agutte.",harassment,individual,medium,0.59,kannada
ANON_0192,project help madidakke thanks maga.,neutral,group,low,0,kannada
ANON_0193,pizza bekka biryani bekka decide maadi.,neutral,group,low,0.05,kannada
ANON_0194,"[USR], elli hogidaroo ade tara madthiya, tumba disgusting behaviour anta feel agutte.",harassment,individual,high,0.79,kannada
ANON_0195,"[USR], elli hogidaroo ade tara madthiya, tumba disgusting behaviour anta feel agutte.",harassment,individual,high,0.82,kannada
ANON_0196,"ninna presentation super aaytu, chennag ide.",neutral,group,low,0,kannada
ANON_0197,ivattu assignment submit maadbeku maga.,neutral,unknown,low,0.03,kannada
ANON_0198,attendance link haakbidu illi.,neutral,individual,low,0,kannada
ANON_0199,"[USR], nee complete waste fellow machaa.",insult,individual,high,0.42,kannada
ANON_0200,"[USR], elli hogidaroo ade tara madthiya, yen use illa ninna jothe anta feel agutte.",harassment,individual,medium,0.37,kannada
ANON_0201,"[USR], nanna jothe yaak mathadthiya, bekagilla.",exclusion,individual,medium,0.42,kannada
ANON_0202,exam tumba tough aaytu but somehow aaytu.,neutral,group,low,0.02,kannada
ANON_0203,"[USR], nee useless tara behave madthiya machaa.",insult,individual,medium,0.38,kannada
ANON_0204,"5 nimisha nalli join agthini, swalpa wait maadu.",neutral,unknown,low,0.02,kannada
ANON_0205,"[USR], nanna friends jothe matadod yaak, creepy agide.",cyberstalking,individual,high,0.82,kannada
ANON_0206,"happy birthday, tumba olle varsha agli.",neutral,unknown,low,0.01,kannada
ANON_0207,"[USR], nee class nalli full time joker ne re.",insult,individual,medium,0.35,kannada
ANON_0208,"network sakkath slow ide, once repeat maadu.",neutral,unknown,low,0.02,kannada
ANON_0209,"[USR], nee complete waste fellow yaar.",insult,individual,high,0.55,kannada
ANON_0210,"naale 9 gante lab ge bartira, late agbeda.",neutral,group,low,0.02,kannada
ANON_0211,"[USR], [AUTHORITY] ge complaint haakthini nodu, swalpa matadod nilaasu.",threat,individual,high,0.88,kannada
ANON_0212,pizza bekka biryani bekka decide maadi.,neutral,individual,low,0.01,kannada
ANON_0213,"[USR], nee yen use illa yaar.",insult,individual,medium,0.42,kannada
ANON_0214,fest practice ge yar yar barthidira.,neutral,group,low,0.02,kannada
ANON_0215,"ninna presentation super aaytu, chennag ide.",neutral,unknown,low,0.01,kannada
ANON_0216,"[USR], ninna jothe yaar matadalla, bekagilla.",exclusion,individual,high,0.52,kannada
ANON_0217,canteen alli meet maadona today.,neutral,group,low,0.02,kannada
ANON_0218,"[USR], nee tumba disgusting behaviour machaa.",insult,individual,high,0.62,kannada
ANON_0219,tomorrow exam prep ge help maadu pls.,neutral,individual,low,0.02,kannada
ANON_0220,"[USR], yaak nanna messages na screenshot togthiya, stalking ne idu.",cyberstalking,individual,high,0.88,kannada
ANON_0221,[USR] is behaving like a total [PROFANITY],insult,individual,high,0.72,bad_words
ANON_0222,Thanks for sharing the study material.,neutral,unknown,low,0.02,english
ANON_0223,You are such a [PROFANITY] waste of space,insult,individual,high,0.85,bad_words
ANON_0224,Good luck for the exam everyone!,neutral,group,low,0.01,english
ANON_0225,[USR] keeps sending me unwanted messages daily,harassment,individual,medium,0.58,bad_words
ANON_0226,Assignment deadline extended to Friday.,neutral,academic,low,0.02,english
ANON_0227,Nobody wants you in this group [PROFANITY],exclusion,individual,high,0.75,bad_words
ANON_0228,Can you share the PPT for tomorrow?,neutral,unknown,low,0.02,english
ANON_0229,[USR] I will make your life hell,threat,individual,high,0.92,bad_words
ANON_0230,Nice presentation today!,neutral,individual,low,0.01,english
ANON_0231,Why do you always talk like a [PROFANITY],insult,individual,medium,0.55,bad_words
ANON_0232,Lunch at 1 PM in cafeteria?,neutral,group,low,0.02,english
ANON_0233,"[USR], stop following me everywhere",stalking,individual,high,0.78,bad_words
ANON_0234,Library study session at 4?,neutral,group,low,0.02,english
ANON_0235,Your whole family is [PROFANITY],insult,family,high,0.88,bad_words
ANON_0236,Which lab are we in today?,neutral,academic,low,0.02,english
ANON_0237,[USR] you are completely worthless,insult,individual,high,0.68,bad_words
ANON_0238,Exam papers will be shared soon.,neutral,academic,low,0.01,english
ANON_0239,"[USR], I know where you live",threat,individual,high,0.95,bad_words
ANON_0240,Meeting rescheduled to 3 PM.,neutral,unknown,low,0.02,english
ANON_0241,nee yavaga online bartiya anta nodthini always,cyberstalking,individual,high,0.82,kannada
ANON_0242,"[USR], nee class alli full time khatarnak idiya.",insult,individual,medium,0.38,kannada
ANON_0243,tumba chennagi explain maadidya boss.,neutral,individual,low,0.01,kannada
ANON_0244,"[USR], ninna jothe matadod bekagilla.",exclusion,individual,medium,0.48,kannada
ANON_0245,notes share maadidakke thanks bro.,neutral,individual,low,0.02,kannada
ANON_0246,"[USR], nee hogi illi irodu bekagilla.",exclusion,individual,high,0.55,kannada
ANON_0247,assignment due date yaavaga?,neutral,academic,low,0.02,kannada
ANON_0248,"[USR], nee full fake personality yaar.",insult,individual,medium,0.42,kannada
ANON_0249,"sakkath movie aaytu, next week ondhu nodona.",neutral,individual,low,0.01,kannada
ANON_0250,"[USR], nanna online status yaak track madthiya.",cyberstalking,individual,high,0.85,kannada
ANON_0251,You are really dumb 😒,insult,group,low,0.25,emoji
ANON_0252,Leave me alone already 💣,harassment,academic,medium,0.55,emoji
ANON_0253,People like you are disgusting 💢,hate,individual,high,0.85,emoji
ANON_0254,You will regret this 🫥,threat,appearance,high,0.95,emoji
ANON_0255,Nice explanation today 🙌,neutral,academic,low,0.0,emoji
ANON_0256,You always spread negativity 🙄,toxicity,individual,medium,0.45,emoji
ANON_0257,Great teamwork everyone 👏,neutral,group,low,0.0,emoji
ANON_0258,Stop following me around 😠,stalking,individual,high,0.75,emoji
ANON_0259,You're worthless 💔,insult,individual,high,0.7,emoji
ANON_0260,Thanks for the help 🙏,neutral,individual,low,0.0,emoji
ANON_0261,Nobody wants you here 🚫,exclusion,individual,high,0.8,emoji
ANON_0262,Good morning class 🌞,neutral,group,low,0.0,emoji
ANON_0263,I'll destroy your reputation 👿,threat,individual,high,0.9,emoji
ANON_0264,You're so annoying 😤,insult,individual,medium,0.4,emoji
ANON_0265,Happy birthday! 🎂,neutral,individual,low,0.0,emoji
ANON_0266,Your kind doesn't belong here 😡,hate,group,high,0.82,emoji
ANON_0267,Great job on the project 💪,neutral,individual,low,0.0,emoji
ANON_0268,I'm watching your every move 👁️,cyberstalking,individual,high,0.88,emoji
ANON_0269,You talk too much trash 🗑️,insult,individual,medium,0.45,emoji
ANON_0270,Study group at 5 PM 📚,neutral,group,low,0.0,emoji
ANON_0271,exam hall number yavdu?,neutral,academic,low,0.02,kannada
ANON_0272,"[USR], nee tumba annoying behaviour.",insult,individual,medium,0.35,kannada
ANON_0273,chai break togoli banni.,neutral,group,low,0.01,kannada
ANON_0274,"[USR], ninna jothe yaaru iralla.",exclusion,individual,high,0.52,kannada
ANON_0275,"naale holiday ide, yaavaga meet maadona.",neutral,group,low,0.02,kannada
ANON_0276,"[USR], [AUTHORITY] kade complaint kodu hogthini.",threat,individual,high,0.88,kannada
ANON_0277,project extension sigtha antira?,neutral,academic,low,0.02,kannada
ANON_0278,"[USR], nee full time fake smile haakthiya.",insult,individual,medium,0.35,kannada
ANON_0279,oota maadona ondhu chennag restaurant nalli.,neutral,group,low,0.01,kannada
ANON_0280,"[USR], nanna friends jothe matadod nillsu.",harassment,individual,medium,0.55,kannada
ANON_0281,internship update enu aaythu?,neutral,individual,low,0.02,kannada
ANON_0282,"[USR], nee complete nonsense fellow.",insult,individual,medium,0.45,kannada
ANON_0283,assignment template haakbidu pls.,neutral,academic,low,0.02,kannada
ANON_0284,"[USR], nanna location yaak track madthiya.",cyberstalking,individual,high,0.92,kannada
ANON_0285,exam preparation howdu?,neutral,individual,low,0.01,kannada
ANON_0286,"[USR], ninna jothe yaaru friendship bekagilla.",exclusion,individual,high,0.58,kannada
ANON_0287,"fest registration link haakbidu, tumba urgent.",neutral,group,low,0.02,kannada
ANON_0288,"[USR], nee tumba cheap behaviour.",insult,individual,high,0.55,kannada
ANON_0289,next class yaavaga shuru?,neutral,academic,low,0.02,kannada
ANON_0290,"[USR], nanna life alli interfere madbeda.",harassment,individual,medium,0.58,kannada
ANON_0291,assignment format link send maadu.,neutral,academic,low,0.02,english
ANON_0292,[USR] you're such a [PROFANITY] loser,insult,individual,high,0.78,bad_words
ANON_0293,Project meeting at 5 PM confirmed.,neutral,group,low,0.01,english
ANON_0294,Stop texting me [PROFANITY] creep,harassment,individual,high,0.72,bad_words
ANON_0295,Notes for chapter 5 uploaded.,neutral,academic,low,0.02,english
ANON_0296,[USR] I'll teach you a lesson,threat,individual,high,0.85,bad_words
ANON_0297,Presentation slides are ready.,neutral,unknown,low,0.02,english
ANON_0298,Everyone hates you [PROFANITY],hate,individual,high,0.82,bad_words
ANON_0299,Lab report submission tomorrow.,neutral,academic,low,0.01,english
ANON_0300,[USR] always watching me online creepy,cyberstalking,individual,high,0.78,bad_words
ANON_0301,"[USR], nee full sucide tara behave madthiya.",threat,individual,high,0.43,bad_words
ANON_0302,"[USR], you are such a [PROFANITY] in this group.",sexual_harassment,individual,high,0.76,bad_words
ANON_0303,"[USR], you are such a [PROFANITY] in this group.",insult,individual,medium,0.42,bad_words
ANON_0304,"Only a [PROFANITY] will spam the group like you, [USR].",insult,individual,medium,0.59,bad_words
ANON_0305,"Ivattu kooda sucide tara act madtidya, [USR].",threat,individual,medium,0.61,bad_words
ANON_0306,"[USR], nee tumba thotha maga tara idiya maga.",insult,individual,medium,0.41,bad_words
ANON_0307,"[USR], yaaru kuda ninna idiot thara nature ishta padalla.",insult,individual,high,0.81,bad_words
ANON_0308,"Group nalli a tara thotha baribeda, [USR].",insult,individual,high,0.48,bad_words
ANON_0309,"[USR], nin ninna [PROFANITY] nataka nodakke bore aaytu.",sexual_harassment,individual,medium,0.35,bad_words
ANON_0310,"People are tired of your [PROFANITY] attitude, [USR].",harassment,individual,high,0.52,bad_words
ANON_0311,"Group nalli a tara haavu bro neenu maga baribeda, [USR].",harassment,individual,medium,0.66,bad_words
ANON_0312,"Group nalli ee not a loyal attitude beda, [USR].",harassment,individual,high,0.55,bad_words
ANON_0313,"Ninna idiot thara behavior nodi everyone frustrate agta idare, [USR].",insult,individual,high,0.56,bad_words
ANON_0314,"Only a [PROFANITY] will spam the group like you, [USR].",harassment,individual,high,0.6,bad_words
ANON_0315,"[USR], nin [PROFANITY] nataka nodakke bore aaytu.",harassment,individual,medium,0.54,bad_words
ANON_0316,"[USR], nee tumba dagarina maga tara idiya maga.",insult,individual,medium,0.45,bad_words
ANON_0317,"[USR], ivattu full hucchadanta mode nalli idiya.",insult,individual,high,0.62,bad_words
ANON_0318,"[USR], nin [PROFANITY] nataka nodakke bore aaytu.",sexual_harassment,individual,high,0.78,bad_words
ANON_0319,"Ninna cry baby behavior nodi everyone frustrate agta idare, [USR].",harassment,individual,medium,0.38,bad_words
ANON_0320,"Group nalli a tara singri maga baribeda, [USR].",insult,individual,high,0.43,bad_words
ANON_0321,Go kill yourself 💀,threat,individual,high,0.98,emoji
ANON_0322,Thanks for helping me understand 🤝,neutral,individual,low,0.0,emoji
ANON_0323,You're so fake it's obvious 🎭,insult,individual,medium,0.5,emoji
ANON_0324,Assignment due tomorrow ⏰,neutral,academic,low,0.0,emoji
ANON_0325,I'll make sure everyone hates you 👎,threat,individual,high,0.85,emoji
ANON_0326,You're a complete joke 🤡,insult,individual,medium,0.55,emoji
ANON_0327,Class cancelled tomorrow 📢,neutral,academic,low,0.0,emoji
ANON_0328,I know all your secrets 🤫,threat,individual,high,0.75,emoji
ANON_0329,You're pathetic and everyone knows it 😏,insult,individual,high,0.72,emoji
ANON_0330,Exam results are out 📋,neutral,academic,low,0.0,emoji
ANON_0331,"[USR], nee tumba irritating agthiya re dude.",insult,individual,medium,0.35,codemix
ANON_0332,ivattu assignment submit maadbeku maga bro.,neutral,unknown,low,0.02,codemix
ANON_0333,"[USR], elli hogidaroo ade same behaviour, limit alli iru please.",harassment,individual,medium,0.55,codemix
ANON_0334,attendance link share maadu please.,neutral,individual,low,0.01,codemix
ANON_0335,"[USR], nanna location track madbeda, very creepy agide.",cyberstalking,individual,high,0.85,codemix
ANON_0336,naale extra pen togond baa please.,neutral,unknown,low,0.02,codemix
ANON_0337,"[USR], ivananna group inda remove maadona, who needs him.",exclusion,group,medium,0.48,codemix
ANON_0338,project help madidakke thanks bro.,neutral,individual,low,0.02,codemix
ANON_0339,"[USR], nee full time late bartiya always.",insult,individual,low,0.22,codemix
ANON_0340,weekend ge which movie nodona.,neutral,individual,low,0.01,codemix
