message,label,target_type,severity,severity_score
It's obvious that you will face consequences for this without a doubt.,threat,appearance,medium,0.82
what are you even saying,insult,individual,medium,0.3
stay out of this matter,exclusion,individual,medium,0.42
I think please remove yourself,exclusion,individual,medium,0.42
you dont belong in this level don't you think?,insult,individual,medium,0.3
"view, stop chasing me for replies",harassment,social,medium,0.45
"Basically, we are doing this without you",exclusion,individual,medium,0.42
"Look, shut up now",aggression,appearance,medium,0.55
keep quiet please and it's sad.,aggression,individual,medium,0.55
"Actually, stop tracking my activity ... whatever.",stalking,individual,medium,0.62
why do you always show up where i am,stalking,individual,high,0.67
control yourself for real.,aggression,individual,medium,0.55
Where can I find the syllabus? Thanks.,neutral,academic,medium,0.02
stop irritating everyone right now.,aggression,individual,high,0.6
"Hey, Does anyone understand this topic?",neutral,unknown,medium,0.02
dont push me beyond my limit,threat,individual,medium,0.82
your type should not be here (no offense).,hate,individual,low,0.7
"this section, dont keep asking the same thing",harassment,group,medium,0.45
"Hey, Did anyone finish the assignment?",neutral,gender,medium,0.02
"Seriously, stop monitoring what i do immediately.",stalking,individual,high,0.67
people like you dont deserve respect,hate,individual,medium,0.75
remember this moment immediately.,threat,gender,medium,0.82
"whole class, dont start with me",aggression,group,medium,0.55
"submission, dont cross the line",aggression,academic,medium,0.55
you are acting childish don't you think?,insult,individual,medium,0.3
Everyone knows people like you never change immediately.,hate,individual,high,0.8
we didnt include you on purpose and everyone agrees.,exclusion,individual,high,0.47
"Honestly, your type always ruins things",hate,individual,high,0.8
why are you watching my profile daily,stalking,teacher,medium,0.62
"this class, this group is too negative",toxicity,group,medium,0.5
"To be honest, leave me alone seriously",harassment,individual,high,0.5
"this group, this chat is mentally draining",toxicity,group,medium,0.5
"internals, this place feels suffocating",toxicity,academic,medium,0.5
"In my opinion, this place feels suffocating period.",toxicity,individual,medium,0.5
"Hey, this doesnt concern you and it's annoying.",exclusion,individual,medium,0.42
Can we meet after class? Thanks.,neutral,unknown,medium,0.02
this place is full of nonsense - just my opinion.,toxicity,individual,medium,0.5
Does anyone understand this topic? Thanks.,neutral,unknown,medium,0.02
"Listen, stop disturbing me during class",harassment,individual,medium,0.45
dont involve yourself here,exclusion,individual,medium,0.42
I just wanted to say i cant stand people like you right now.,hate,individual,medium,0.75
Did anyone finish the assignment? Thanks.,neutral,gender,medium,0.02
"looks bad, you just dont get it",insult,appearance,medium,0.3
"online, stop irritating everyone",aggression,social,high,0.6
I think dont test my patience (no offense).,threat,academic,low,0.77
"Just so you know, dont cross the line and it's sad.",aggression,individual,medium,0.55
"record work, you are embarrassing yourself",insult,academic,medium,0.3
you dont need to be here (no offense).,exclusion,individual,low,0.37
this chat is very unhealthy and it's annoying.,toxicity,group,medium,0.5
dont test my patience for real.,threat,academic,medium,0.82
Is the class online or offline tomorrow? Thanks.,neutral,social,medium,0.02
Everyone knows dont follow up again please,harassment,individual,high,0.5
"exam, we dont like people like you",hate,academic,medium,0.75
you dont belong in our circle,exclusion,individual,medium,0.42
I just wanted to say you will suffer for this without a doubt.,threat,individual,medium,0.82
"dp, dont message me late night",harassment,social,medium,0.45
"body, you look foolish right now",insult,appearance,medium,0.3
"Actually, this place feels unhealthy immediately.",toxicity,individual,medium,0.5
"To be honest, this environment is really bad without a doubt.",toxicity,gender,medium,0.5
"block, you asked for it",threat,social,medium,0.82
"In my opinion, you will pay for what you did",threat,individual,medium,0.82
"Basically, you are done now",threat,individual,medium,0.82
control yourself,aggression,individual,medium,0.55
"Listen, we dont like people like you !!!",hate,individual,medium,0.75
"thinking, your kind is not welcome here",hate,personal,medium,0.75
"Look, why are you always online when i come",stalking,appearance,high,0.67
Everyone knows why are you checking my last seen and it's annoying.,stalking,social,high,0.67
you will suffer for this - just my opinion.,threat,individual,medium,0.82
"women, we are tired of people like you",hate,gender,medium,0.75
you cant escape from this don't you think?,threat,individual,medium,0.82
"Look, dont involve yourself here",exclusion,appearance,medium,0.42
"Hey, i will complain about you",threat,individual,medium,0.82
"Seriously, i will report this to sir for real.",threat,teacher,high,0.87
Does anyone understand this topic??,neutral,unknown,medium,0.02
you dont need to be here for real.,exclusion,individual,medium,0.42
"Seriously, dont keep asking the same thing so please stop.",harassment,appearance,high,0.5
"Basically, you sound really stupid",insult,individual,medium,0.3
"Seriously, just wait and watch",threat,individual,high,0.87
"online, dont overdo it",aggression,social,medium,0.55
"Hey, stay out of my matters for real.",aggression,individual,medium,0.55
"grade, dont start with me",aggression,academic,medium,0.55
"Hey, how many times should i say no",harassment,individual,medium,0.45
It's obvious that we are doing this without you,exclusion,individual,medium,0.42
this space is not safe mentally,toxicity,gender,medium,0.5
I missed the lecture today. Thanks.,neutral,unknown,medium,0.02
stop forcing conversation and it's annoying.,harassment,individual,medium,0.45
why do you follow everything i do,stalking,individual,medium,0.62
"Seriously, you are not invited to this",exclusion,individual,high,0.47
you are done now,threat,individual,medium,0.82
this will not end well for you and everyone agrees.,threat,individual,high,0.87
"faculty, there is too much negativity here",toxicity,teacher,medium,0.5
you will regret this later,threat,individual,medium,0.82
Can we meet after class?,neutral,unknown,medium,0.02
you are not smart enough for this so please stop.,insult,individual,medium,0.3
"Stop it, people here are very problematic",toxicity,group,medium,0.5
"Actually, there is too much negativity here (no offense).",toxicity,individual,low,0.45
dont keep pinging me for no reason (no offense).,harassment,individual,low,0.4
"staff, this will not end well for you",threat,teacher,medium,0.82
dont lecture me,aggression,individual,medium,0.55
this group is too negative,toxicity,group,medium,0.5
"Hey, this chat is mentally draining",toxicity,group,medium,0.5
"Seriously, you are done now right now.",threat,individual,high,0.87
why do you know when i go offline and everyone agrees.,stalking,social,high,0.67
why cant you just stop,harassment,individual,medium,0.45
this doesnt concern you and everyone agrees.,exclusion,individual,high,0.47
"Listen, dont act smart here - just my opinion.",aggression,individual,medium,0.55
"test, stay in your limits",aggression,academic,medium,0.55
dont test my patience period.,threat,academic,medium,0.82
you will regret this later without a doubt.,threat,individual,medium,0.82
"body, you are not required",exclusion,appearance,medium,0.42
stay out of my matters for real.,aggression,individual,medium,0.55
stop talking nonsense without a doubt.,aggression,individual,medium,0.55
Everyone knows stop getting involved,aggression,individual,high,0.6
"girls, this is between us only",exclusion,gender,medium,0.42
"face, this place feels unhealthy",toxicity,appearance,medium,0.5
back off right now,aggression,individual,medium,0.55
"personality, you will pay for what you did",threat,personal,medium,0.82
"skin, people like you are a headache",hate,appearance,medium,0.75
this group is very disturbing,toxicity,group,medium,0.5
"Look, why do you keep observing me",stalking,appearance,medium,0.62
"Look, why cant you just stop",harassment,appearance,medium,0.45
"Hey, Can someone share the notes from today?",neutral,academic,medium,0.02
i will make sure everyone knows (no offense).,threat,individual,high,0.87
"Seriously, you are not part of this",exclusion,individual,high,0.47
Everyone knows dont overdo it,aggression,individual,high,0.6
"Honestly, we are doing this without you ... whatever.",exclusion,individual,medium,0.42
"Just so you know, you dont belong in this level ... whatever.",insult,individual,medium,0.3
"Actually, we didnt include you on purpose so please stop.",exclusion,individual,medium,0.42
Did anyone finish the assignment?,neutral,gender,medium,0.02
"In my opinion, you are in serious trouble - just my opinion.",threat,individual,medium,0.82
"Hey, you will regret this later right now.",threat,individual,medium,0.82
"In my opinion, you make everything worse period.",insult,individual,medium,0.3
stop stalking me don't you think?,stalking,individual,medium,0.62
i will report this to sir,threat,teacher,medium,0.82
I think you are acting childish so please stop.,insult,individual,medium,0.3
we didnt include you on purpose !!!,exclusion,individual,medium,0.42
"Basically, dont involve yourself here",exclusion,individual,medium,0.42
"guys, i cant stand people like you",hate,gender,medium,0.75
you will pay for what you did,threat,individual,medium,0.82
"In my opinion, stop disturbing me during class",harassment,individual,medium,0.45
stop irritating everyone for sure.,aggression,individual,high,0.6
"staff, you dont have common sense",insult,teacher,medium,0.3
"In my opinion, you will suffer for this immediately.",threat,individual,medium,0.82
I think stop forcing conversation so please stop.,harassment,individual,medium,0.45
"everyone here, your kind is unwanted here",hate,group,high,0.8
"Seriously, this space is not safe mentally and it's sad.",toxicity,gender,high,0.55
Can someone share the notes from today? Thanks.,neutral,academic,medium,0.02
"this class, stop forcing conversation",harassment,group,medium,0.45
"Just so you know, go mind your work",aggression,individual,medium,0.55
"height, dont keep reminding me again and again",harassment,appearance,medium,0.45
stop monitoring what i do,stalking,individual,medium,0.62
i cant stand people like you right now.,hate,individual,medium,0.75
"Seriously, why do you keep noticing when i am active immediately.",stalking,individual,high,0.67
"whole class, why are you always online when i come",stalking,group,high,0.67
"Basically, why do you remember my timings",stalking,individual,medium,0.62
"To be honest, you dont have common sense",insult,individual,medium,0.3
better you leave this group,exclusion,group,medium,0.42
"Hey, When is the next lab session?",neutral,unknown,medium,0.02
Is the class online or offline tomorrow?,neutral,social,medium,0.02
"Basically, dont keep reminding me again and again !!!",harassment,individual,medium,0.45
"you guys, why cant you just stop",harassment,group,medium,0.45
"Seriously, dont keep reminding me again and again period.",harassment,individual,high,0.5
"submission, we are tired of people like you",hate,academic,medium,0.75
mind your own business,aggression,individual,medium,0.55
"Just so you know, why do you follow everything i do don't you think?",stalking,individual,medium,0.62
"Look, this environment is stressful for sure.",toxicity,gender,medium,0.5
people like you dont deserve respect !!!,hate,individual,medium,0.75
there is too much negativity here,toxicity,individual,medium,0.5
leave me alone seriously,harassment,individual,high,0.5
It's obvious that we dont need people like you,hate,individual,medium,0.75
"In my opinion, dont poke your nose period.",aggression,individual,medium,0.55
you asked for it !!!,threat,individual,medium,0.82
Is there any update on the results? Thanks.,neutral,academic,medium,0.02
why do you keep noticing when i am active for real.,stalking,individual,medium,0.62
"this team, why are you always in my dm",harassment,group,high,0.5
you make everything worse right now.,insult,individual,medium,0.3
"In my opinion, people like you are always the problem",hate,individual,high,0.8
we dont like people like you ... whatever.,hate,individual,medium,0.75
"To be honest, i told you already dont text me",harassment,individual,medium,0.45
you are useless in group work,insult,individual,medium,0.3
"Basically, go away from here",aggression,individual,medium,0.55
we are tired of people like you,hate,individual,medium,0.75
I just wanted to say dont push me beyond my limit,threat,individual,medium,0.82
"Hey, are you seriously this dumb",insult,individual,high,0.35
you are not invited to this !!!,exclusion,individual,medium,0.42
there is too much negativity here so please stop.,toxicity,individual,medium,0.5
dont annoy me for sure.,aggression,individual,medium,0.55
"body, we dont like people like you",hate,appearance,medium,0.75
"Hey, The project deadline is approaching.",neutral,academic,medium,0.02
"Actually, you will pay for what you did",threat,individual,medium,0.82
stop bothering me about this,harassment,individual,medium,0.45
stop monitoring what i do without a doubt.,stalking,individual,medium,0.62
we are doing this without you,exclusion,individual,medium,0.42
this chat is very unhealthy and it's sad.,toxicity,group,medium,0.5
this chat ruins my mood and it's annoying.,toxicity,group,medium,0.5
The project deadline is approaching. Thanks.,neutral,academic,medium,0.02
"homework, stop spamming me",harassment,academic,medium,0.45
"mentality, why are you so slow",insult,gender,medium,0.3
I think this place feels suffocating,toxicity,individual,medium,0.5
your type should not be here,hate,individual,medium,0.75
"Look, you dont need to be here",exclusion,appearance,medium,0.42
"assignment, this place feels suffocating",toxicity,gender,medium,0.5
"Basically, this will not end well for you !!!",threat,individual,medium,0.82
you always ruin the mood for sure.,insult,individual,high,0.35
dont start with me without a doubt.,aggression,individual,medium,0.55
we already decided without you,exclusion,individual,medium,0.42
no need for you here immediately.,exclusion,individual,medium,0.42
"behavior, back off right now",aggression,personal,medium,0.55
"Honestly, control yourself",aggression,individual,medium,0.55
"boys, leave me alone seriously",harassment,gender,high,0.5
dont involve yourself here and it's annoying.,exclusion,individual,medium,0.42
"Seriously, why are you watching my profile daily",stalking,teacher,high,0.67
you are useless in group work period.,insult,individual,medium,0.3
"To be honest, this is not meant for you and it's sad.",exclusion,individual,medium,0.42
you are not required,exclusion,individual,medium,0.42
"female students, stop keeping tabs on me",stalking,gender,medium,0.62
this chat is exhausting immediately.,toxicity,group,medium,0.5
"Basically, dont cross the line",aggression,individual,medium,0.55
"In my opinion, dont push me beyond my limit !!!",threat,individual,medium,0.82
please remove yourself,exclusion,individual,medium,0.42
stop keeping tabs on me period.,stalking,individual,medium,0.62
dont interfere in this don't you think?,aggression,individual,medium,0.55
"Hey, Let's work together on this.",neutral,unknown,medium,0.02
"To be honest, we dont need people like you",hate,individual,medium,0.75
"Stop it, this doesnt concern you right now.",exclusion,individual,medium,0.42
"In my opinion, you dont have common sense",insult,individual,medium,0.3
dont think this will go unnoticed for sure.,threat,individual,medium,0.82
"Stop it, why do you keep calling me and everyone agrees.",harassment,individual,high,0.5
dont test my patience,threat,academic,medium,0.82
"To be honest, why are you watching me silently immediately.",stalking,individual,medium,0.62
"backlogs, your type always ruins things",hate,academic,high,0.8
I think you are embarrassing yourself immediately.,insult,individual,medium,0.3
your kind is not welcome here,hate,individual,medium,0.75
"Look, stop chasing me for replies",harassment,appearance,medium,0.45
dont follow up again please and it's sad.,harassment,individual,medium,0.45
"Basically, people here spread negativity",toxicity,group,medium,0.5
you are in serious trouble,threat,individual,medium,0.82
grow up seriously and everyone agrees.,insult,individual,high,0.35
people here are very problematic,toxicity,group,medium,0.5
why do you keep observing me for real.,stalking,individual,medium,0.62
"Just so you know, stop getting involved (no offense).",aggression,individual,low,0.5
"Actually, this doesnt concern you period.",exclusion,individual,medium,0.42
"Seriously, just wait and watch (no offense).",threat,individual,high,0.87
stay out of this matter !!!,exclusion,individual,medium,0.42
"Actually, dont cross the line - just my opinion.",aggression,individual,medium,0.55
go away from here,aggression,individual,medium,0.55
"In my opinion, this group is not for you",exclusion,group,medium,0.42
"Seriously, this chat is mentally draining",toxicity,group,high,0.55
"Honestly, you make everything worse",insult,individual,medium,0.3
"Basically, people like you make everything dirty for sure.",hate,individual,medium,0.75
we are tired of people like you immediately.,hate,individual,medium,0.75
"Listen, i will expose what you did so please stop.",threat,individual,medium,0.82
there is too much negativity here immediately.,toxicity,individual,medium,0.5
"men, why are you so behind me",harassment,gender,medium,0.45
"this group, no need for you here",exclusion,group,medium,0.42
I think we are doing this without you !!!,exclusion,individual,medium,0.42
"everyone here, people like you never change",hate,group,high,0.8
"teacher, dont annoy me",aggression,teacher,medium,0.55
"Honestly, why cant you just stop and everyone agrees.",harassment,individual,high,0.5
It's obvious that this is only for selected people period.,exclusion,individual,medium,0.42
"Hey, stop bothering me about this",harassment,individual,medium,0.45
"guys, you are in serious trouble",threat,gender,medium,0.82
"Stop it, stop bothering me about this",harassment,individual,medium,0.45
"mindset, you are not part of this",exclusion,personal,medium,0.42
why are you always wrong,insult,individual,high,0.35
"men, you are so clueless",insult,gender,medium,0.3
"Seriously, dont start with me without a doubt.",aggression,individual,high,0.6
"Actually, your kind spoils the environment",hate,gender,medium,0.75
When is the next lab session??,neutral,unknown,medium,0.02
"nature, we already decided without you",exclusion,personal,medium,0.42
Is the class online or offline tomorrow??,neutral,social,medium,0.02
I think this space is not safe mentally for sure.,toxicity,gender,medium,0.5
"Stop it, this place is full of nonsense",toxicity,individual,medium,0.5
"Stop it, you are acting childish period.",insult,individual,medium,0.3
"class teacher, this space is not safe mentally",toxicity,teacher,medium,0.5
dont poke your nose,aggression,individual,medium,0.55
"girls, stop monitoring what i do",stalking,gender,medium,0.62
this group is very disturbing for real.,toxicity,group,medium,0.5
stop disturbing me during class,harassment,individual,medium,0.45
i cant stand people like you and it's annoying.,hate,individual,medium,0.75
"Look, do you even understand anything",insult,appearance,medium,0.3
"To be honest, this place feels suffocating so please stop.",toxicity,individual,medium,0.5
"guys, we already decided without you",exclusion,gender,medium,0.42
you will suffer for this and everyone agrees.,threat,individual,high,0.87
"In my opinion, this space is not safe mentally right now.",toxicity,gender,medium,0.5
"you guys, you will suffer for this",threat,group,medium,0.82
"reply, this is between us only",exclusion,social,medium,0.42
how many times should i say no,harassment,individual,medium,0.45
"Look, back off right now don't you think?",aggression,appearance,medium,0.55
It's obvious that this chat is mentally draining,toxicity,group,medium,0.5
Everyone knows control yourself,aggression,individual,high,0.6
i cant stand people like you immediately.,hate,individual,medium,0.75
"Listen, you asked for it don't you think?",threat,individual,medium,0.82
"Look, you cant escape from this",threat,appearance,medium,0.82
people like you never change and everyone agrees.,hate,individual,high,0.8
you cant escape from this,threat,individual,medium,0.82
stop getting involved and it's annoying.,aggression,individual,medium,0.55
dont push me beyond my limit without a doubt.,threat,individual,medium,0.82
you wont get away with this and it's sad.,threat,individual,medium,0.82
I think this place feels unhealthy,toxicity,individual,medium,0.5
Everyone knows please remove yourself immediately.,exclusion,individual,high,0.47
It's obvious that dont follow up again please,harassment,individual,medium,0.45
"Just so you know, this is such a dumb question for real.",insult,individual,medium,0.3
this group is full of drama period.,toxicity,group,medium,0.5
"height, this environment is really bad",toxicity,gender,medium,0.5
What time is the assignment due? Thanks.,neutral,gender,medium,0.02
you will face consequences for this,threat,appearance,medium,0.82
"To be honest, you will suffer for this",threat,individual,medium,0.82
"girls, dont annoy me",aggression,gender,medium,0.55
Everyone knows dont keep pinging me for no reason,harassment,individual,high,0.5
why are you always checking my status (no offense).,stalking,social,high,0.67
you dont have common sense without a doubt.,insult,individual,medium,0.3
dont lecture me without a doubt.,aggression,individual,medium,0.55
Everyone knows why do you always show up where i am,stalking,individual,high,0.67
"Basically, this group is very disturbing",toxicity,group,medium,0.5
Where can I find the syllabus??,neutral,academic,medium,0.02
this place feels suffocating for sure.,toxicity,individual,medium,0.5
"project, i told you already dont text me",harassment,academic,medium,0.45
you are not part of this for real.,exclusion,individual,medium,0.42
"looks, how many times should i say no",harassment,appearance,medium,0.45
"To be honest, this chat is mentally draining and everyone agrees.",toxicity,group,high,0.55
"Honestly, you mess up everything and it's annoying.",insult,individual,medium,0.3
you are embarrassing yourself for real.,insult,individual,medium,0.3
you dont belong in this level,insult,individual,medium,0.3
this chat is mentally draining (no offense).,toxicity,group,low,0.45
Everyone knows dont poke your nose for real.,aggression,individual,high,0.6
stop getting involved,aggression,individual,medium,0.55
no need for you here,exclusion,individual,medium,0.42
"looks strange, you are done now",threat,appearance,medium,0.82
"Actually, why do you always show up where i am and it's sad.",stalking,individual,high,0.67
"Stop it, you always ruin the mood and it's annoying.",insult,individual,high,0.35
"Seriously, stop talking rubbish",insult,individual,high,0.35
"Basically, why are you noticing my movements",stalking,gender,medium,0.62
"ladies, you sound really stupid",insult,gender,medium,0.3
"last seen, your kind spoils the environment",hate,gender,medium,0.75
why do you follow everything i do ... whatever.,stalking,individual,medium,0.62
I think stop irritating everyone !!!,aggression,individual,high,0.6
"To be honest, you dont belong in our circle and it's annoying.",exclusion,individual,medium,0.42
why do you always show up where i am for real.,stalking,individual,high,0.67
"looks weird, this chat is mentally draining",toxicity,group,medium,0.5
"Hey, we dont want you in this discussion",exclusion,individual,medium,0.42
"mentality, your type always ruins things",hate,gender,high,0.8
"approach, how many times should i say no",harassment,personal,medium,0.45
this chat is exhausting ... whatever.,toxicity,group,medium,0.5
"Look, you always talk nonsense",insult,appearance,high,0.35
why are you noticing my movements and it's annoying.,stalking,gender,medium,0.62
"looks funny, i will make sure everyone knows",threat,appearance,high,0.87
stop monitoring what i do (no offense).,stalking,individual,low,0.57
"Listen, dont start with me",aggression,individual,medium,0.55
Everyone knows go mind your work,aggression,individual,high,0.6
"Look, your kind is not welcome here immediately.",hate,appearance,medium,0.75
this group is full of drama and it's sad.,toxicity,group,medium,0.5
you never get anything right,insult,individual,high,0.35
i told you already dont text me,harassment,individual,medium,0.45
I think why are you always online when i come,stalking,social,high,0.67
people here spread negativity,toxicity,group,medium,0.5
"Basically, you never get anything right period.",insult,individual,high,0.35
"Stop it, we are tired of people like you don't you think?",hate,individual,medium,0.75
why do you keep observing me,stalking,individual,medium,0.62
I just wanted to say use your brain once (no offense).,insult,individual,low,0.25
you are hopeless,insult,individual,medium,0.3
"Honestly, dont keep reminding me again and again and it's annoying.",harassment,individual,medium,0.45
"attitude, you wont get away with this",threat,personal,medium,0.82
we dont want you in this discussion,exclusion,individual,medium,0.42
Good morning everyone. Thanks.,neutral,unknown,high,0.07
stop irritating everyone (no offense).,aggression,individual,high,0.6
"nature, we didnt include you on purpose",exclusion,personal,medium,0.42
"Actually, people here spread negativity",toxicity,group,medium,0.5
"Honestly, dont annoy me",aggression,individual,medium,0.55
"ladies, dont interfere in this",aggression,gender,medium,0.55
I just wanted to say why are you always in my dm,harassment,individual,high,0.5
we dont want you in this discussion !!!,exclusion,individual,medium,0.42
"Seriously, i will complain about you",threat,individual,high,0.87
why are you messaging me again,harassment,individual,medium,0.45
"last seen, stop spamming me",harassment,social,medium,0.45
I just wanted to say you are acting childish and it's annoying.,insult,individual,medium,0.3
"this class, why are you watching me silently",stalking,group,medium,0.62
"Hey, dont keep pinging me for no reason (no offense).",harassment,individual,low,0.4
stop keeping tabs on me,stalking,individual,medium,0.62
"Actually, control yourself (no offense).",aggression,individual,low,0.5
you dont belong in our circle so please stop.,exclusion,individual,medium,0.42
why are you checking my last seen and it's sad.,stalking,social,medium,0.62
"Stop it, your kind is not welcome here and it's annoying.",hate,individual,medium,0.75
"all of you, your type always ruins things",hate,group,high,0.8
"Look, everyone laughs at you don't you think?",insult,appearance,high,0.35
"Honestly, just wait and watch - just my opinion.",threat,individual,medium,0.82
"score, this environment is stressful",toxicity,gender,medium,0.5
"notes, your type should not be here",hate,academic,medium,0.75
stop forcing conversation and it's sad.,harassment,individual,medium,0.45
"Basically, you are such a burden !!!",insult,individual,medium,0.3
stop keeping tabs on me (no offense).,stalking,individual,low,0.57
"body, this chat is exhausting",toxicity,group,medium,0.5
this chat ruins my mood for sure.,toxicity,group,medium,0.5
why are you messaging me again immediately.,harassment,individual,medium,0.45
It's obvious that why do you know when i read messages,stalking,individual,medium,0.62
"Honestly, dont cross the line",aggression,individual,medium,0.55
"this circle, shut up now",aggression,group,medium,0.55
"Listen, shut up now",aggression,individual,medium,0.55
Everyone knows people like you make everything dirty,hate,individual,high,0.8
"Stop it, your kind spoils the environment (no offense).",hate,gender,low,0.7
"Stop it, people like you make everything dirty and it's sad.",hate,individual,medium,0.75
"coordinator, you asked for it",threat,teacher,medium,0.82
"Stop it, dont overdo it",aggression,individual,medium,0.55
"approach, this doesnt concern you",exclusion,personal,medium,0.42
Everyone knows stay out of this matter,exclusion,individual,high,0.47
you just dont get it right now.,insult,individual,medium,0.3
"notes, why are you always behind me",stalking,academic,high,0.67
Everyone knows this group is too negative and it's sad.,toxicity,group,high,0.55
"habit, you are not required",exclusion,personal,medium,0.42
dont follow up again please,harassment,individual,medium,0.45
It's obvious that you are not smart enough for this don't you think?,insult,individual,medium,0.3
stop forcing conversation for real.,harassment,individual,medium,0.45
people here are very problematic for real.,toxicity,group,medium,0.5
"personality, people like you are a headache",hate,personal,medium,0.75
you are such a burden and everyone agrees.,insult,individual,high,0.35
"Hey, Is there any update on the results?",neutral,academic,medium,0.02
"girls, you cant escape from this",threat,gender,medium,0.82
"Listen, i will report this to sir",threat,teacher,medium,0.82
"Stop it, dont act smart here",aggression,individual,medium,0.55
"Seriously, stop getting involved immediately.",aggression,individual,high,0.6
"thinking, dont keep asking the same thing",harassment,appearance,medium,0.45
"Actually, people like you never change so please stop.",hate,individual,high,0.8
"Listen, why are you so behind me (no offense).",harassment,individual,low,0.4
this chat is very unhealthy,toxicity,group,medium,0.5
Everyone knows dont keep pinging me for no reason right now.,harassment,individual,high,0.5
"Just so you know, stay in your limits",aggression,individual,medium,0.55
just wait and watch immediately.,threat,individual,medium,0.82
"Honestly, you dont need to be here ... whatever.",exclusion,individual,medium,0.42
"Seriously, you always talk nonsense and it's sad.",insult,individual,high,0.35
this group has become so toxic,toxicity,group,medium,0.5
Everyone knows leave me alone seriously,harassment,individual,high,0.5
you keep irritating me daily period.,harassment,individual,medium,0.45
