message,label,target_type,severity_score,severity_level,context
"Frqvrcast, ivattu full kall nan magane mode nalli idiya. #6625",Insult,Individual,0.62,medium,whatsapp_group_chat
"Aljzyoluxj, ivattu full dove rani mode nalli idiya. #2170",Harassment,Individual,0.29,low,whatsapp_group_chat
"Group nalli ee monkey thara attitude beda, Pzly. #2e48",Insult,Individual,0.64,high,whatsapp_group_chat
"Only a bellend will spam the group like you, Eqvwdypqy. #e3d4",Insult,Individual,0.73,medium,whatsapp_group_chat
"Zyuikvpfh, you are such a butthead in this group. #f2b1",Harassment,Individual,0.5,high,whatsapp_group_chat
"Group nalli ee saayi attitude beda, Ezufv. #0330",Threat,Individual,0.47,medium,whatsapp_group_chat
"Ypqva, yaaru kuda ninna cry baby nature ishta padalla. #efcd",Harassment,Individual,0.61,high,whatsapp_group_chat
"People are tired of your cock-socker attitude, Nxpm. #75ba",Sexual Harassment,Individual,0.74,medium,whatsapp_group_chat
"Dbw, nin sexy bro nataka nodakke bore aaytu. #723b",Sexual Harassment,Individual,0.81,high,whatsapp_group_chat
"Group nalli ee sucide attitude beda, Xyswkvhbfe. #1f0a",Threat,Individual,0.54,medium,whatsapp_group_chat
"Lue, stop acting like a total dimwit every day. #f486",Insult,Individual,0.37,medium,whatsapp_group_chat
"Dre, nee tumba thotha maga tara idiya maga. #c239",Insult,Individual,0.51,medium,whatsapp_group_chat
"Flhkwn, nee tumba tullna keya tara idiya maga. #b240",Sexual Harassment,Individual,0.5,low,whatsapp_group_chat
"Icwdlf, you are such a suck his dick in this group. #8163",Sexual Harassment,Individual,0.67,high,whatsapp_group_chat
"Owbnbdjqm, stop acting like a total nigger every day. #4b1d",Harassment,Individual,0.47,medium,whatsapp_group_chat
"This bloody hell behaviour is not okay, Omq. #a857",Harassment,Individual,0.46,medium,whatsapp_group_chat
"People are tired of your fag attitude, Lhrybtpegk. #7370",Insult,Individual,0.49,medium,whatsapp_group_chat
"Opzkpu, yaaru kuda ninna sexy baby nature ishta padalla. #2a16",Sexual Harassment,Individual,0.54,high,whatsapp_group_chat
"Group nalli a tara ninna thullu keya baribeda, Dtkmsstqeh. #559a",Sexual Harassment,Individual,0.6,high,whatsapp_group_chat
"Yjfqhw, nee full fake character tara behave madthiya. #0259",Harassment,Individual,0.37,medium,whatsapp_group_chat
"Flwse, stop acting like a total cock-socker every day. #a509",Sexual Harassment,Individual,0.49,low,whatsapp_group_chat
"Group nalli a tara thale kettide baribeda, Jgstby. #46a9",Harassment,Individual,0.35,low,whatsapp_group_chat
"Kbdhb, you are such a wtf in this group. #6c13",Harassment,Individual,0.56,high,whatsapp_group_chat
"Ninna sexy bro behavior nodi everyone frustrate agta idare, Tvh. #e03b",Sexual Harassment,Individual,0.47,medium,whatsapp_group_chat
"Slxma, yaaru kuda ninna sexy baby nature ishta padalla. #5200",Sexual Harassment,Individual,0.61,medium,whatsapp_group_chat
"Ghjxv, ivattu full kallu mode nalli idiya. #3028",Insult,Individual,0.68,high,whatsapp_group_chat
"Fqfhpx, stop acting like a total hell every day. #9420",Harassment,Individual,0.32,low,whatsapp_group_chat
"Hruzhztnw, nee tumba saayi maga tara idiya maga. #ae7e",Threat,Individual,0.46,medium,whatsapp_group_chat
"Tggav, nee tumba thullu keya tara idiya maga. #f8b5",Sexual Harassment,Individual,0.72,medium,whatsapp_group_chat
"Kqcnrjdyou, stop acting like a total twat every day. #51fe",Insult,Individual,0.64,low,whatsapp_group_chat
"Dwpplld, stop acting like a total son of bitch every day. #6933",Sexual Harassment,Individual,0.54,medium,whatsapp_group_chat
"Loomefhf, yaaru kuda ninna sakath body nature ishta padalla. #33b5",Harassment,Individual,0.74,high,whatsapp_group_chat
"Only a nigga will spam the group like you, Xznlmf. #ec5c",Harassment,Individual,0.8,high,whatsapp_group_chat
"Only a 69 will spam the group like you, Vuawhphvt. #5a6b",Sexual Harassment,Individual,0.63,medium,whatsapp_group_chat
"Uok, nee full sakath body tara behave madthiya. #01e5",Harassment,Individual,0.34,low,whatsapp_group_chat
"People are tired of your duffer attitude, Fvyufhqefu. #0e48",Insult,Individual,0.5,medium,whatsapp_group_chat
"Zechxyou, you are such a nigga in this group. #e3b4",Harassment,Individual,0.49,low,whatsapp_group_chat
"Rxptbbheoy, nee full haavu bro neenu tara behave madthiya. #1740",Harassment,Individual,0.72,medium,whatsapp_group_chat
"Ninna haavu bro neenu behavior nodi everyone frustrate agta idare, Eghawccq. #31bc",Harassment,Individual,0.48,medium,whatsapp_group_chat
"This asshole behaviour is not okay, Zmzuugqt. #524a",Insult,Individual,0.54,medium,whatsapp_group_chat
"This bloddy hell behaviour is not okay, Ipjermk. #d9b3",Harassment,Individual,0.7,high,whatsapp_group_chat
"Tobw, nin muklyappa nataka nodakke bore aaytu. #b51c",Insult,Individual,0.52,medium,whatsapp_group_chat
"Ninna fake character behavior nodi everyone frustrate agta idare, Udfugyju. #d808",Harassment,Individual,0.42,medium,whatsapp_group_chat
"People are tired of your bellend attitude, Swyviuplqs. #4452",Insult,Individual,0.59,medium,whatsapp_group_chat
"Xbvlmvpug, you are such a dog in this group. #aea5",Insult,Individual,0.42,medium,whatsapp_group_chat
"Hnesqmm, nee tumba mangyan maga tara idiya maga. #9150",Insult,Individual,0.7,high,whatsapp_group_chat
"People are tired of your fucking balls attitude, Vfhbpk. #e133",Sexual Harassment,Individual,0.72,medium,whatsapp_group_chat
"This cockfoam behaviour is not okay, Uymwfsn. #9e73",Sexual Harassment,Individual,0.59,medium,whatsapp_group_chat
"Ynuky, nee full idiot thara tara behave madthiya. #6ac1",Insult,Individual,0.61,medium,whatsapp_group_chat
"This sexy behaviour is not okay, Cfwdekugi. #46b3",Sexual Harassment,Individual,0.31,low,whatsapp_group_chat
"Ivattu kooda sakath body tara act madtidya, Rewfxpxp. #619b",Harassment,Individual,0.32,low,whatsapp_group_chat
"This dick head behaviour is not okay, Vceosrhr. #bc88",Sexual Harassment,Individual,0.63,low,whatsapp_group_chat
"Dhhavil, nee tumba keiyanna maga tara idiya maga. #13b5",Harassment,Individual,0.49,medium,whatsapp_group_chat
"Group nalli ee cry baby attitude beda, Cyvwquz. #ffd4",Harassment,Individual,0.81,high,whatsapp_group_chat
"Rnpbcz, nee tumba kall nan magane tara idiya maga. #f50c",Insult,Individual,0.57,high,whatsapp_group_chat
"Rxv, stop acting like a total stupid every day. #7713",Insult,Individual,0.6,low,whatsapp_group_chat
"Tsuwj, nee tumba thale kettide tara idiya maga. #1903",Harassment,Individual,0.36,low,whatsapp_group_chat
"Yella dina dove rani tara mathadbeda, Invx. #2cd8",Harassment,Individual,0.46,low,whatsapp_group_chat
"Rxrkpuu, ivattu full die maga mode nalli idiya. #b6fd",Threat,Individual,0.63,low,whatsapp_group_chat
"Only a crap will spam the group like you, Kccphomhwm. #1a14",Harassment,Individual,0.55,high,whatsapp_group_chat
"Group nalli ee sexy bro attitude beda, Xqd. #58c7",Sexual Harassment,Individual,0.54,medium,whatsapp_group_chat
"Xdiezhcdts, nin hucchadanthe nataka nodakke bore aaytu. #6ee5",Threat,Individual,0.62,medium,whatsapp_group_chat
"Sxbqml, nee full dove rani tara behave madthiya. #6a1b",Harassment,Individual,0.5,high,whatsapp_group_chat
"Ocggvf, yaaru kuda ninna sexy bro nature ishta padalla. #6d7c",Sexual Harassment,Individual,0.46,medium,whatsapp_group_chat
"Only a fuck will spam the group like you, Nxoyfa. #a557",Harassment,Individual,0.5,high,whatsapp_group_chat
"Yella dina nimmavvana maga tara mathadbeda, Jjyybxh. #d6d5",Harassment,Individual,0.3,low,whatsapp_group_chat
"People are tired of your twat face attitude, Nxvsc. #0918",Insult,Individual,0.5,low,whatsapp_group_chat
"Zrrrq, you are such a dick head in this group. #77ed",Sexual Harassment,Individual,0.55,medium,whatsapp_group_chat
"People are tired of your queer attitude, Fwnpdawt. #7195",Insult,Individual,0.65,medium,whatsapp_group_chat
"Ninna sucide behavior nodi everyone frustrate agta idare, Fgjzf. #ec83",Threat,Individual,0.56,low,whatsapp_group_chat
"Xjezdyhzsp, nee tumba soolya tara idiya maga. #bb66",Harassment,Individual,0.63,medium,whatsapp_group_chat
"People are tired of your dick attitude, Vnbyywtypo. #721d",Sexual Harassment,Individual,0.59,medium,whatsapp_group_chat
"Gbhqyu, ivattu full sooley mode nalli idiya. #53c8",Insult,Individual,0.48,low,whatsapp_group_chat
"Sdajr, you are such a fuck you in this group. #1f2f",Harassment,Individual,0.53,medium,whatsapp_group_chat
"Sjoypmex, nee tumba hendruna keya maga tara idiya maga. #3405",Sexual Harassment,Individual,0.51,medium,whatsapp_group_chat
"Wan, ivattu full kall nan magane mode nalli idiya. #802c",Insult,Individual,0.62,medium,whatsapp_group_chat
"Sfjrfqp, ivattu full muklyappa mode nalli idiya. #c92a",Insult,Individual,0.44,medium,whatsapp_group_chat
"Rblx, stop acting like a total bloddy hell every day. #d7ac",Harassment,Individual,0.39,medium,whatsapp_group_chat
"This sexy behaviour is not okay, Qbejikrnit. #40cd",Sexual Harassment,Individual,0.59,high,whatsapp_group_chat
"Fin, nee full cry baby tara behave madthiya. #321a",Harassment,Individual,0.62,medium,whatsapp_group_chat
"Only a nigga will spam the group like you, Ulwll. #7f38",Harassment,Individual,0.77,high,whatsapp_group_chat
"This lame behaviour is not okay, Kigqw. #6b7b",Harassment,Individual,0.58,medium,whatsapp_group_chat
"Yella dina sexy baby maga tara mathadbeda, Kvpytl. #6241",Sexual Harassment,Individual,0.58,high,whatsapp_group_chat
"Yella dina gaanchali tara mathadbeda, Mrer. #7f65",Insult,Individual,0.38,medium,whatsapp_group_chat
"Levulwcuzv, nin soole nataka nodakke bore aaytu. #25ac",Harassment,Individual,0.74,medium,whatsapp_group_chat
"Group nalli ee idiot thara attitude beda, Bwowfqhbg. #c5a5",Insult,Individual,0.37,medium,whatsapp_group_chat
"Group nalli ee joker thara attitude beda, Ydhkb. #7ee0",Insult,Individual,0.54,high,whatsapp_group_chat
"Nhqdi, nee full saayi tara behave madthiya. #ac46",Threat,Individual,0.55,medium,whatsapp_group_chat
"Levy, ivattu full thullu keya mode nalli idiya. #58c6",Sexual Harassment,Individual,0.35,medium,whatsapp_group_chat
"Amygg, nee full dove rani tara behave madthiya. #fb5b",Harassment,Individual,0.52,medium,whatsapp_group_chat
"Pjcenpxhdt, nin ninna gandu maga nataka nodakke bore aaytu. #e6b6",Insult,Individual,0.47,medium,whatsapp_group_chat
"Yella dina nim amman tara mathadbeda, Ubyy. #19ac",Harassment,Individual,0.45,medium,whatsapp_group_chat
"People are tired of your butthead attitude, Scrkafnnxx. #7c25",Harassment,Individual,0.65,medium,whatsapp_group_chat
"Hspkvmcikh, you are such a sexy in this group. #19f8",Sexual Harassment,Individual,0.58,high,whatsapp_group_chat
"Xbpyfokba, yaaru kuda ninna monkey thara nature ishta padalla. #48d4",Insult,Individual,0.39,medium,whatsapp_group_chat
"Uevdxes, stop acting like a total butthead every day. #f5db",Harassment,Individual,0.65,high,whatsapp_group_chat
"Jgrcjieyym, you are such a go to hell in this group. #b781",Harassment,Individual,0.57,low,whatsapp_group_chat
"Only a bugger will spam the group like you, Yhe. #1dea",Insult,Individual,0.52,high,whatsapp_group_chat
"Avr, stop acting like a total fag every day. #bb75",Insult,Individual,0.5,medium,whatsapp_group_chat
"Toiqcaznj, stop acting like a total cock-socker every day. #57ff",Sexual Harassment,Individual,0.41,low,whatsapp_group_chat
"Yella dina thale kettide maga tara mathadbeda, Ftkjg. #b216",Harassment,Individual,0.68,medium,whatsapp_group_chat
"Ilyxqhbx, nin keiya nataka nodakke bore aaytu. #04cf",Harassment,Individual,0.6,low,whatsapp_group_chat
"People are tired of your idiot attitude, Ceg. #90a8",Insult,Individual,0.65,low,whatsapp_group_chat
"Group nalli a tara gaandu baribeda, Atq. #87d9",Insult,Individual,0.59,medium,whatsapp_group_chat
"Only a pussy will spam the group like you, Fbcpulzhww. #8d39",Sexual Harassment,Individual,0.57,high,whatsapp_group_chat
"Wau, nin thotha nataka nodakke bore aaytu. #d846",Insult,Individual,0.71,medium,whatsapp_group_chat
"Vmxaklho, stop acting like a total lick every day. #4314",Sexual Harassment,Individual,0.61,low,whatsapp_group_chat
"Apxuouqfnu, ivattu full joker thara maga mode nalli idiya. #0cc8",Insult,Individual,0.74,high,whatsapp_group_chat
"Ivattu kooda dove rani tara act madtidya, Zklwtjqk. #24d6",Harassment,Individual,0.7,high,whatsapp_group_chat
"Ttaxf, nin thimru nataka nodakke bore aaytu. #fc50",Insult,Individual,0.75,high,whatsapp_group_chat
"Only a idiot will spam the group like you, Jkys. #0746",Insult,Individual,0.52,high,whatsapp_group_chat
"Icrylenxbb, ivattu full ninna thullu keya mode nalli idiya. #2e10",Sexual Harassment,Individual,0.58,medium,whatsapp_group_chat
"Fuesgip, stop acting like a total shit every day. #a72b",Harassment,Individual,0.59,high,whatsapp_group_chat
"Group nalli ee cry baby attitude beda, Sotg. #5a6b",Harassment,Individual,0.68,low,whatsapp_group_chat
"Nxhivfdlq, nin saayi madthiya maga nataka nodakke bore aaytu. #6f9b",Threat,Individual,0.38,medium,whatsapp_group_chat
"Ninna monkey thara behavior nodi everyone frustrate agta idare, Jebs. #36e4",Insult,Individual,0.64,medium,whatsapp_group_chat
"People are tired of your ass attitude, Mccgsjlmcr. #e594",Harassment,Individual,0.73,high,whatsapp_group_chat
"Ninna joker thara behavior nodi everyone frustrate agta idare, Nyyxln. #1bf0",Insult,Individual,0.4,medium,whatsapp_group_chat
"Qpjaoqtqjp, ivattu full gaandu mode nalli idiya. #6832",Insult,Individual,0.38,medium,whatsapp_group_chat
"Bav, yaaru kuda ninna sakath body nature ishta padalla. #3cca",Harassment,Individual,0.67,medium,whatsapp_group_chat
"People are tired of your hell attitude, Wyy. #e931",Harassment,Individual,0.4,low,whatsapp_group_chat
"Lofc, you are such a fair suck of the sav in this group. #7411",Harassment,Individual,0.7,high,whatsapp_group_chat
"Gkcj, nee full monkey thara tara behave madthiya. #6ba1",Insult,Individual,0.6,medium,whatsapp_group_chat
"Otngzcjdh, yaaru kuda ninna monkey thara nature ishta padalla. #c5e2",Insult,Individual,0.64,low,whatsapp_group_chat
"Group nalli a tara muka thika thara ide baribeda, Enjlmtksg. #3c18",Harassment,Individual,0.56,high,whatsapp_group_chat
"Bmlvsiim, ivattu full kalladantha maga mode nalli idiya. #d471",Insult,Individual,0.71,medium,whatsapp_group_chat
"Ninna cry baby behavior nodi everyone frustrate agta idare, Rhfpk. #e382",Harassment,Individual,0.48,medium,whatsapp_group_chat
"Kpzsyuzdit, nee tumba nimmavvana maga tara idiya maga. #1214",Harassment,Individual,0.45,medium,whatsapp_group_chat
"Yella dina nimavvan tara mathadbeda, Hhxnc. #cd7b",Harassment,Individual,0.56,medium,whatsapp_group_chat
"Evxirbwk, stop acting like a total fuck every day. #f4a5",Harassment,Individual,0.6,medium,whatsapp_group_chat
"Ivattu kooda haavu bro neenu tara act madtidya, Bsitweeidd. #0a58",Harassment,Individual,0.55,high,whatsapp_group_chat
"Uwptyx, you are such a sexy in this group. #e39f",Sexual Harassment,Individual,0.57,high,whatsapp_group_chat
"Ivattu kooda saayi tara act madtidya, Ocvje. #c177",Threat,Individual,0.62,medium,whatsapp_group_chat
"Hiuzd, nin gaanchali nataka nodakke bore aaytu. #75d2",Insult,Individual,0.47,low,whatsapp_group_chat
"This fucking balls behaviour is not okay, Xct. #4937",Sexual Harassment,Individual,0.74,high,whatsapp_group_chat
"Rlbkw, nee full saayi tara behave madthiya. #22c3",Threat,Individual,0.72,high,whatsapp_group_chat
"Nzh, nin hucchadana nataka nodakke bore aaytu. #24ee",Insult,Individual,0.44,low,whatsapp_group_chat
"Ivattu kooda saayi tara act madtidya, Zgwyt. #638f",Threat,Individual,0.67,medium,whatsapp_group_chat
"Xsy, you are such a suck his dick in this group. #d077",Sexual Harassment,Individual,0.58,low,whatsapp_group_chat
"Vmxurh, stop acting like a total sexy every day. #b168",Sexual Harassment,Individual,0.69,medium,whatsapp_group_chat
"Group nalli ee saayi attitude beda, Zkuivfz. #b24e",Threat,Individual,0.57,low,whatsapp_group_chat
"Ninna sakath body behavior nodi everyone frustrate agta idare, Pdauyj. #192d",Harassment,Individual,0.3,low,whatsapp_group_chat
"Group nalli a tara soolya baribeda, Pxzfaq. #26b4",Harassment,Individual,0.57,medium,whatsapp_group_chat
"This asswipe behaviour is not okay, Wquj. #1436",Insult,Individual,0.62,medium,whatsapp_group_chat
"Group nalli ee haavu bro neenu attitude beda, Ayeifho. #eb51",Harassment,Individual,0.37,medium,whatsapp_group_chat
"Dzzbizwqz, nee full sexy baby tara behave madthiya. #b364",Sexual Harassment,Individual,0.75,high,whatsapp_group_chat
"Dqezn, yaaru kuda ninna cry baby nature ishta padalla. #73c8",Harassment,Individual,0.53,low,whatsapp_group_chat
"Jkzzfe, nee full saayi tara behave madthiya. #0546",Threat,Individual,0.68,medium,whatsapp_group_chat
"Ninna saayi behavior nodi everyone frustrate agta idare, Xgnqacoexe. #ffe1",Threat,Individual,0.76,high,whatsapp_group_chat
"Hdm, stop acting like a total bugger every day. #961b",Insult,Individual,0.43,medium,whatsapp_group_chat
"This balls are in as well behaviour is not okay, Eswqtungeh. #30a4",Sexual Harassment,Individual,0.47,medium,whatsapp_group_chat
"Afdgg, you are such a bitch in this group. #5d3d",Insult,Individual,0.73,medium,whatsapp_group_chat
"Gtpgzrnxw, you are such a bloddy hell in this group. #b5fd",Harassment,Individual,0.5,medium,whatsapp_group_chat
"Only a wanker will spam the group like you, Fxzxf. #83e6",Sexual Harassment,Individual,0.55,low,whatsapp_group_chat
"Ivattu kooda haavu bro neenu tara act madtidya, Lyylxtadq. #664c",Harassment,Individual,0.59,high,whatsapp_group_chat
"Mkbwg, stop acting like a total shag every day. #ddd5",Sexual Harassment,Individual,0.61,medium,whatsapp_group_chat
"Bsy, nee tumba singri maga tara idiya maga. #6989",Sexual Harassment,Individual,0.52,medium,whatsapp_group_chat
"This lame behaviour is not okay, Qcekl. #24fd",Harassment,Individual,0.67,high,whatsapp_group_chat
"Group nalli ee saayi attitude beda, Avoppgcemd. #7aa2",Threat,Individual,0.44,medium,whatsapp_group_chat
"People are tired of your bozo attitude, Indtyiqmf. #2ef0",Insult,Individual,0.44,high,whatsapp_group_chat
"This dirty fellow behaviour is not okay, Mpmtkyokm. #f4ab",Insult,Individual,0.35,low,whatsapp_group_chat
"Bympln, nin tullna keya maga nataka nodakke bore aaytu. #5d8e",Sexual Harassment,Individual,0.59,high,whatsapp_group_chat
"Eytfes, nee full idiot thara tara behave madthiya. #e901",Insult,Individual,0.63,low,whatsapp_group_chat
"Yella dina thotti maga tara mathadbeda, Cawhrqt. #d487",Insult,Individual,0.64,high,whatsapp_group_chat
"People are tired of your bitch attitude, Iquqcbulw. #b6a4",Insult,Individual,0.49,medium,whatsapp_group_chat
"Ecynkdeyo, nin ninna hendruna keya maga nataka nodakke bore aaytu. #d3a1",Sexual Harassment,Individual,0.48,low,whatsapp_group_chat
"Group nalli ee not a loyal attitude beda, Avxw. #1462",Harassment,Individual,0.38,medium,whatsapp_group_chat
"Cjmhgmdd, nee full sexy baby tara behave madthiya. #6a95",Sexual Harassment,Individual,0.61,high,whatsapp_group_chat
"Qfetd, nee tumba keiya maga tara idiya maga. #f122",Harassment,Individual,0.46,high,whatsapp_group_chat
"Group nalli a tara nimmavvana baribeda, Deu. #fe89",Harassment,Individual,0.64,high,whatsapp_group_chat
"Group nalli a tara soolya maga baribeda, Avfqrvl. #4f04",Harassment,Individual,0.37,medium,whatsapp_group_chat
"People are tired of your shit attitude, Vwas. #1ff9",Harassment,Individual,0.56,low,whatsapp_group_chat
"Fvmf, nee full idiot thara tara behave madthiya. #111d",Insult,Individual,0.44,medium,whatsapp_group_chat
"Apoumzmanv, nee tumba nin hendruna keya tara idiya maga. #5a90",Sexual Harassment,Individual,0.4,medium,whatsapp_group_chat
"Kkjzem, nin hucchadanthe nataka nodakke bore aaytu. #ec46",Insult,Individual,0.32,low,whatsapp_group_chat
"People are tired of your twat face attitude, Rwd. #249e",Insult,Individual,0.5,medium,whatsapp_group_chat
"Xxadma, stop acting like a total fucking prick every day. #2021",Sexual Harassment,Individual,0.48,medium,whatsapp_group_chat
"Ivattu kooda sucide tara act madtidya, Qmwnnm. #dec6",Threat,Individual,0.52,medium,whatsapp_group_chat
"Vaioz, stop acting like a total bollocks every day. #c886",Insult,Individual,0.72,medium,whatsapp_group_chat
"Vgd, nee full sucide tara behave madthiya. #702f",Threat,Individual,0.54,high,whatsapp_group_chat
"People are tired of your twat face attitude, Zcphnys. #7e1d",Insult,Individual,0.36,medium,whatsapp_group_chat
"Ntznts, nee full sakath body tara behave madthiya. #d12b",Harassment,Individual,0.49,medium,whatsapp_group_chat
"Only a fuck you will spam the group like you, Blrpyufjok. #87fc",Harassment,Individual,0.48,medium,whatsapp_group_chat
"Joobbhr, stop acting like a total wtf every day. #0824",Harassment,Individual,0.57,high,whatsapp_group_chat
"Rakwx, stop acting like a total slut every day. #4cce",Sexual Harassment,Individual,0.54,high,whatsapp_group_chat
"Ipdfzvivee, nin saayi mad nataka nodakke bore aaytu. #8b75",Threat,Individual,0.44,medium,whatsapp_group_chat
"This rubbish behaviour is not okay, Nkcgygtgl. #fc77",Insult,Individual,0.39,medium,whatsapp_group_chat
"People are tired of your pissflaps attitude, Vzpw. #f33a",Insult,Individual,0.67,medium,whatsapp_group_chat
"Ivattu kooda joker thara tara act madtidya, Wtz. #f06c",Insult,Individual,0.4,low,whatsapp_group_chat
"Ninna cry baby behavior nodi everyone frustrate agta idare, Pjcfog. #fa9f",Harassment,Individual,0.67,low,whatsapp_group_chat
"Frjncojd, nin sakath body maga nataka nodakke bore aaytu. #33e1",Harassment,Individual,0.41,low,whatsapp_group_chat
"Vsskyq, nee tumba kall maga tara idiya maga. #7304",Insult,Individual,0.44,medium,whatsapp_group_chat
