message,label,target_type,severity,severity_score
"ninna presentation super aaytu, chennag ide. #818d",Neutral,Individual,Low,0.03
"Rbsrr, next time barbeku anta helthini, swalpa limit nodu yaar. #6318",Threat,Individual,Low,0.65
"review okay aaytu, tension beda. #50d7",Neutral,Unknown,Low,0.03
"happy birthday, tumba olle varsha agli. #b888",Neutral,Group,Low,0
"Tvw, sir ge complaint haakthini nodu, swalpa limit nodu yaar. #dbe7",Threat,Individual,High,1
nee send madida reel super comedy aaytu. #c62d,Neutral,Individual,Low,0.05
fest practice ge yar yar barthidira. #739b,Neutral,Individual,Low,0
"Nigyqdlndj, nee yavattu serious agalla dude. #41eb",Insult,Individual,Low,0.3
attendance link haakbidu illi. #b253,Neutral,Group,Low,0
ninne function photos share maadu. #673d,Neutral,Unknown,Low,0
ivattu assignment submit maadbeku maga. #298c,Neutral,Group,Low,0
attendance link haakbidu illi. #f959,Neutral,Unknown,Low,0.04
naale 4gante canteen nalli meet aagona. #eab1,Neutral,Individual,Low,0
"review okay aaytu, tension beda. #23c8",Neutral,Unknown,Low,0
"review okay aaytu, tension beda. #269d",Neutral,Individual,Low,0.05
fest practice ge yar yar barthidira. #23ac,Neutral,Unknown,Low,0
"Ozs, nee class nalli full time joker ne re. #9c68",Insult,Individual,Medium,0.33
"Wcqufbhw, nee total loser tara idiya dude. #2557",Insult,Individual,High,0.37
naale extra pen togond baa pls. #b6e1,Neutral,Unknown,Low,0.04
ninne function photos share maadu. #78c7,Neutral,Individual,Low,0
"Evwxvqcu, nee tumba disgusting behaviour dude. #82ea",Insult,Individual,High,0.3
naale extra pen togond baa pls. #7cb4,Neutral,Unknown,Low,0.01
"team, ivnanna group nalli add madbeda, ivan illaadre better ansta. #1d8f",Exclusion,Group,Low,0.27
pizza bekka biryani bekka decide maadi. #0029,Neutral,Unknown,Low,0
"team, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #1f98",Exclusion,Group,High,0.39
"Cyfioqe, nee reply nodoke tumba time togondiya dude. #db78",Insult,Individual,Low,0.37
"Qlhmclhak, sir ge complaint haakthini nodu, swalpa limit nodu yaar. #9d23",Threat,Individual,High,1
ivattu assignment submit maadbeku maga. #9243,Neutral,Group,Low,0
"naale 9 gante lab ge bartira, late agbeda. #d118",Neutral,Group,Low,0
"Jnatl, nee ivattu full lazy mode alli idiya re. #cc53",Insult,Individual,Low,0.24
yavdru ivattu notes idre send maadu pls. #ea7a,Neutral,Unknown,Low,0.02
yavdru ivattu notes idre send maadu pls. #ac1a,Neutral,Group,Low,0
"Wpufzecwyo, nee total loser tara idiya yaar. #0797",Insult,Individual,High,0.29
pizza bekka biryani bekka decide maadi. #6fd7,Neutral,Individual,Low,0
"Xomkfpwpl, a type jokes swalpa stop maadu, group nalli idu sari alla. #4ef7",Sexual Harassment,Individual,Medium,0.59
"network sakkath slow ide, once repeat maadu. #2512",Neutral,Individual,Low,0.03
"Tniuzbcv, nee reply nodoke tumba time togondiya dude. #a6f5",Insult,Individual,Low,0.13
"Ech, prati dina reason illade ping madbedi, idu stalking tara kanstide. #1774",Cyberstalking,Individual,Low,0.66
"class grp, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #28bc",Exclusion,Group,Low,0.19
project help madidakke thanks maga. #55bd,Neutral,Individual,Low,0
yaaru naalege PPT madthare helri. #902b,Neutral,Unknown,Low,0
"Dgzehz, elli hogidaroo ade tara madthiya, total loser tara idiya anta feel agutte. #41ca",Harassment,Individual,High,0.47
"Cjmw, nee ivattu full lazy mode alli idiya dude. #4e35",Insult,Individual,Low,0.34
"Oovq, elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte. #ed41",Harassment,Individual,High,0.48
"Qejf, elli hogidaroo ade tara madthiya, class nalli full time joker ne anta feel agutte. #9373",Harassment,Individual,Low,0.52
attendance link haakbidu illi. #9c04,Neutral,Unknown,Low,0.07
"Fvtxt, nee sakkat dumb idiya yaar machaa. #26a9",Insult,Individual,Medium,0.22
"Ugysntu, mundina sari nodu yen agutte anta, swalpa limit nodu yaar. #9453",Threat,Individual,Low,0.62
"Jocwbfonp, nee yavattu serious agalla dude. #258f",Insult,Individual,Low,0.19
"Meylqrdk, nee full time late bartiya re. #5833",Insult,Individual,Low,0.33
yaaru naalege PPT madthare helri. #6bd4,Neutral,Group,Low,0
"Mqoh, ella platform nalli follow madbeda please, idu stalking tara kanstide. #aa3d",Cyberstalking,Individual,Medium,0.8
yavdru ivattu notes idre send maadu pls. #2b72,Neutral,Group,Low,0
"naale 9 gante lab ge bartira, late agbeda. #fce7",Neutral,Group,Low,0
naale 4gante canteen nalli meet aagona. #c47c,Neutral,Unknown,Low,0.05
weekend ge yava movie nodona. #06cc,Neutral,Unknown,Low,0
"Lkv, mundina sari nodu yen agutte anta, swalpa limit nodu yaar. #1e78",Threat,Individual,High,0.95
"Iuzysshxbs, elli hogidaroo ade tara madthiya, tumba disgusting behaviour anta feel agutte. #310c",Harassment,Individual,High,0.66
"network sakkath slow ide, once repeat maadu. #a251",Neutral,Unknown,Low,0
ninne function photos share maadu. #e946,Neutral,Group,Low,0.01
"Tpghirj, ella platform nalli follow madbeda please, idu stalking tara kanstide. #cf10",Cyberstalking,Individual,Medium,0.67
"Jdsvrmm, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #5f26",Harassment,Individual,High,0.61
"naale 9 gante lab ge bartira, late agbeda. #735d",Neutral,Unknown,Low,0.02
"Uhbdnk, elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte. #2936",Harassment,Individual,Medium,0.39
"review okay aaytu, tension beda. #9ee4",Neutral,Individual,Low,0.03
"Nfbmz, nee tumba irritating agthiya re dude. #6d73",Insult,Individual,Medium,0.45
"Jourqpeq, cheap comments madbeda ava bagge, group nalli idu sari alla. #12ad",Sexual Harassment,Individual,Low,0.7
"Axkzj, next time barbeku anta helthini, swalpa limit nodu yaar. #1fac",Threat,Individual,Medium,0.91
"Epkha, sir ge complaint haakthini nodu, swalpa limit nodu yaar. #a909",Threat,Individual,High,0.76
"naale 9 gante lab ge bartira, late agbeda. #06e4",Neutral,Group,Low,0
ivattu class full bore aaytu. #2d5e,Neutral,Individual,Low,0
"5 nimisha nalli join agthini, swalpa wait maadu. #b61e",Neutral,Unknown,Low,0.04
"Srefkq, elli hogidaroo ade tara madthiya, class nalli full time joker ne anta feel agutte. #bd04",Harassment,Individual,Low,0.5
"Oeq, elli hogidaroo ade tara madthiya, sakkat dumb idiya yaar anta feel agutte. #f709",Harassment,Individual,Medium,0.71
"Axgscbn, nee sakkat dumb idiya yaar machaa. #6b82",Insult,Individual,Medium,0.22
"team, chat nalli ivnanna ide irboda anta ansta, ivan illaadre better ansta. #830b",Exclusion,Group,Low,0.4
naale 4gante canteen nalli meet aagona. #c6df,Neutral,Unknown,Low,0.03
"Vxrnrmhhol, nanna status na yavaglu check madthiya, idu stalking tara kanstide. #f2f1",Cyberstalking,Individual,High,0.85
"gang, ivnanna group nalli add madbeda, ivan illaadre better ansta. #154e",Exclusion,Group,Medium,0.25
weekend ge yava movie nodona. #9148,Neutral,Unknown,Low,0
"Vqhnj, nee useless tara behave madthiya machaa. #f27f",Insult,Individual,Medium,0.24
"Zqkwnnejm, nee class nalli full time joker ne re. #01e4",Insult,Individual,Medium,0.32
nee send madida reel super comedy aaytu. #b44e,Neutral,Individual,Low,0
exam tumba tough aaytu but somehow aaytu. #008c,Neutral,Group,Low,0
"Pgkjag, nee class nalli full time joker ne re. #d4b4",Insult,Individual,Medium,0.4
"class grp, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #7fff",Exclusion,Group,Medium,0.41
exam tumba tough aaytu but somehow aaytu. #3a97,Neutral,Unknown,Low,0.04
"class grp, chat nalli ivnanna ide irboda anta ansta, ivan illaadre better ansta. #8e90",Exclusion,Group,Medium,0.31
"Fexrpfru, yake everywhere message madthiya, idu stalking tara kanstide. #0126",Cyberstalking,Individual,High,0.69
"Neu, sir ge complaint haakthini nodu, swalpa limit nodu yaar. #1bea",Threat,Individual,Low,0.86
attendance link haakbidu illi. #1e07,Neutral,Individual,Low,0
"Ddqeh, nee tumba irritating agthiya re re. #d684",Insult,Individual,Medium,0.3
"Oshwhjvcu, next time barbeku anta helthini, swalpa limit nodu yaar. #67bf",Threat,Individual,Medium,0.78
weekend ge yava movie nodona. #5c9a,Neutral,Unknown,Low,0
"Gwspib, yake everywhere message madthiya, idu stalking tara kanstide. #29c4",Cyberstalking,Individual,High,0.9
"review okay aaytu, tension beda. #c62e",Neutral,Individual,Low,0.01
"Yxezwxcqx, nee complete waste fellow machaa. #cff5",Insult,Individual,High,0.42
ninne function photos share maadu. #940a,Neutral,Group,Low,0.02
ninne function photos share maadu. #9c67,Neutral,Group,Low,0
ivattu assignment submit maadbeku maga. #32ad,Neutral,Individual,Low,0
nee send madida reel super comedy aaytu. #e69a,Neutral,Individual,Low,0
"Cfnin, nee full time late bartiya machaa. #ee89",Insult,Individual,Low,0.17
"5 nimisha nalli join agthini, swalpa wait maadu. #19dd",Neutral,Group,Low,0.06
yaaru naalege PPT madthare helri. #77a2,Neutral,Group,Low,0.04
"Kmizml, nanna status na yavaglu check madthiya, idu stalking tara kanstide. #019a",Cyberstalking,Individual,Medium,0.73
"Wgozjwczzn, nee tumba irritating agthiya re dude. #2729",Insult,Individual,Medium,0.36
yavdru ivattu notes idre send maadu pls. #d642,Neutral,Group,Low,0.03
"Yhvv, elli hogidaroo ade tara madthiya, sakkat dumb idiya yaar anta feel agutte. #d565",Harassment,Individual,High,0.68
"Zndadihq, nee tumba irritating agthiya re re. #3a64",Insult,Individual,Medium,0.36
"naale 9 gante lab ge bartira, late agbeda. #caa1",Neutral,Unknown,Low,0.03
"ninna presentation super aaytu, chennag ide. #3855",Neutral,Group,Low,0
yaaru naalege PPT madthare helri. #b2d4,Neutral,Group,Low,0
"Fuvnm, nee total loser tara idiya yaar. #6279",Insult,Individual,High,0.28
"naale 9 gante lab ge bartira, late agbeda. #7e26",Neutral,Unknown,Low,0
"naale 9 gante lab ge bartira, late agbeda. #bfce",Neutral,Group,Low,0
"naale 9 gante lab ge bartira, late agbeda. #a808",Neutral,Individual,Low,0
yaaru naalege PPT madthare helri. #5f0d,Neutral,Group,Low,0
ninne function photos share maadu. #c044,Neutral,Unknown,Low,0
"Pfcsazyhjb, nee tumba irritating agthiya re machaa. #905f",Insult,Individual,Medium,0.35
naale extra pen togond baa pls. #7d35,Neutral,Individual,Low,0.01
"Boilcod, ella platform nalli follow madbeda please, idu stalking tara kanstide. #a656",Cyberstalking,Individual,Low,0.75
"Gzbslr, cheap comments madbeda ava bagge, group nalli idu sari alla. #4082",Sexual Harassment,Individual,High,0.79
naale 4gante canteen nalli meet aagona. #adad,Neutral,Unknown,Low,0.01
"Pesuiunmo, a type jokes swalpa stop maadu, group nalli idu sari alla. #ffe7",Sexual Harassment,Individual,Medium,0.85
"Ksayxcxouv, nee ivattu full lazy mode alli idiya machaa. #d8b5",Insult,Individual,Low,0.37
yavdru ivattu notes idre send maadu pls. #1837,Neutral,Individual,Low,0
naale 4gante canteen nalli meet aagona. #011d,Neutral,Unknown,Low,0.03
yavdru ivattu notes idre send maadu pls. #e1f8,Neutral,Group,Low,0.06
"Wdag, nee useless tara behave madthiya dude. #4793",Insult,Individual,Medium,0.37
"Dnwepchm, nee sakkat dumb idiya yaar yaar. #109a",Insult,Individual,Medium,0.26
yaaru naalege PPT madthare helri. #1a9a,Neutral,Group,Low,0.02
"network sakkath slow ide, once repeat maadu. #84b5",Neutral,Group,Low,0
"Ywavjgq, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #3ceb",Harassment,Individual,Medium,0.6
"Dhputcqal, nee class nalli full time joker ne machaa. #6b93",Insult,Individual,Medium,0.38
"Ycascaigbb, ava body bagge a tara mata beda, group nalli idu sari alla. #a97b",Sexual Harassment,Individual,High,0.77
"Urrt, nee sakkat dumb idiya yaar re. #49d3",Insult,Individual,Medium,0.28
"network sakkath slow ide, once repeat maadu. #779e",Neutral,Unknown,Low,0
"Ottb, yake everywhere message madthiya, idu stalking tara kanstide. #cf74",Cyberstalking,Individual,Medium,0.56
ivattu assignment submit maadbeku maga. #fea6,Neutral,Group,Low,0
"Poql, sir ge complaint haakthini nodu, swalpa limit nodu yaar. #2dab",Threat,Individual,Medium,0.68
"happy birthday, tumba olle varsha agli. #3b2f",Neutral,Individual,Low,0
weekend ge yava movie nodona. #8424,Neutral,Individual,Low,0
"happy birthday, tumba olle varsha agli. #bfc7",Neutral,Unknown,Low,0.01
"Yjkcroa, ella platform nalli follow madbeda please, idu stalking tara kanstide. #77e3",Cyberstalking,Individual,High,0.54
"Yygxryzhea, nee reply nodoke tumba time togondiya dude. #660a",Insult,Individual,Low,0.28
"Ayvmxxjd, nee useless tara behave madthiya re. #2ab2",Insult,Individual,Medium,0.34
"5 nimisha nalli join agthini, swalpa wait maadu. #40d5",Neutral,Unknown,Low,0.07
ninne function photos share maadu. #d483,Neutral,Unknown,Low,0
"Eyysde, next time barbeku anta helthini, swalpa limit nodu yaar. #00a8",Threat,Individual,Medium,0.8
fest practice ge yar yar barthidira. #f3c1,Neutral,Individual,Low,0
ivattu assignment submit maadbeku maga. #fa87,Neutral,Group,Low,0.01
"Zzed, cheap comments madbeda ava bagge, group nalli idu sari alla. #be5b",Sexual Harassment,Individual,High,0.81
project help madidakke thanks maga. #a08b,Neutral,Unknown,Low,0.02
ivattu assignment submit maadbeku maga. #7937,Neutral,Group,Low,0
"Oebttth, nee ivattu full lazy mode alli idiya machaa. #7bd1",Insult,Individual,Low,0.15
"team, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #64a4",Exclusion,Group,Medium,0.22
ivattu class full bore aaytu. #a2e6,Neutral,Unknown,Low,0.02
"review okay aaytu, tension beda. #e4c5",Neutral,Group,Low,0
ivattu assignment submit maadbeku maga. #9726,Neutral,Unknown,Low,0.05
"Zprjfp, elli hogidaroo ade tara madthiya, sakkat dumb idiya yaar anta feel agutte. #c79b",Harassment,Individual,High,0.64
yaaru naalege PPT madthare helri. #b0a0,Neutral,Group,Low,0
"review okay aaytu, tension beda. #e7fe",Neutral,Individual,Low,0
"review okay aaytu, tension beda. #c32d",Neutral,Individual,Low,0.01
fest practice ge yar yar barthidira. #cee8,Neutral,Group,Low,0.01
"team, ivnanna group nalli add madbeda, ivan illaadre better ansta. #e6d8",Exclusion,Group,High,0.34
"network sakkath slow ide, once repeat maadu. #33e6",Neutral,Group,Low,0
"class grp, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #320f",Exclusion,Group,Low,0.28
"Rckt, prati dina reason illade ping madbedi, idu stalking tara kanstide. #beba",Cyberstalking,Individual,Low,0.46
"class grp, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #3e40",Exclusion,Group,Low,0.4
"naale 9 gante lab ge bartira, late agbeda. #7f52",Neutral,Individual,Low,0
pizza bekka biryani bekka decide maadi. #6447,Neutral,Group,Low,0.04
naale extra pen togond baa pls. #08b9,Neutral,Group,Low,0
"Rvpshpjcm, nanna status na yavaglu check madthiya, idu stalking tara kanstide. #7f9a",Cyberstalking,Individual,Medium,0.69
"network sakkath slow ide, once repeat maadu. #e2a8",Neutral,Individual,Low,0.01
"Cmrm, prati dina reason illade ping madbedi, idu stalking tara kanstide. #e801",Cyberstalking,Individual,High,0.83
"gang, ivnanna group nalli add madbeda, ivan illaadre better ansta. #dc84",Exclusion,Group,Low,0.37
"Mupstpb, elli hogidaroo ade tara madthiya, tumba disgusting behaviour anta feel agutte. #1dcd",Harassment,Individual,High,0.79
ivattu class full bore aaytu. #17ed,Neutral,Group,Low,0.02
"class grp, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #9fc5",Exclusion,Group,Low,0.38
"Xpyqlbqzf, elli hogidaroo ade tara madthiya, tumba disgusting behaviour anta feel agutte. #9195",Harassment,Individual,High,0.45
yavdru ivattu notes idre send maadu pls. #798e,Neutral,Group,Low,0.06
fest practice ge yar yar barthidira. #c6f4,Neutral,Group,Low,0
yaaru naalege PPT madthare helri. #3a3e,Neutral,Unknown,Low,0.04
"Iunqay, elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte. #fbcd",Harassment,Individual,Medium,0.43
"Wwuinml, nee useless tara behave madthiya dude. #06b1",Insult,Individual,Medium,0.14
"naale 9 gante lab ge bartira, late agbeda. #f845",Neutral,Group,Low,0.04
fest practice ge yar yar barthidira. #ff9c,Neutral,Group,Low,0.06
"Inmmxbs, nee useless tara behave madthiya re. #6a78",Insult,Individual,Medium,0.37
"Qjfvrfjd, nee tumba irritating agthiya re dude. #4241",Insult,Individual,Medium,0.31
"Uchlhxjn, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #7476",Harassment,Individual,Medium,0.73
"Pgqd, nee tumba irritating agthiya re dude. #bff2",Insult,Individual,Medium,0.17
ivattu class full bore aaytu. #c1f6,Neutral,Group,Low,0.02
"Gyyfsyf, nee reply nodoke tumba time togondiya dude. #a853",Insult,Individual,Low,0.26
"Abrgxlaky, nee sakkat dumb idiya yaar re. #c128",Insult,Individual,Medium,0.29
"Dmqsj, nee full time late bartiya re. #77c7",Insult,Individual,Low,0.3
ivattu assignment submit maadbeku maga. #6bf6,Neutral,Individual,Low,0
yavdru ivattu notes idre send maadu pls. #628e,Neutral,Group,Low,0.03
"Vdu, a tara photos haakbeda please, group nalli idu sari alla. #067d",Sexual Harassment,Individual,Medium,0.75
exam tumba tough aaytu but somehow aaytu. #d2e5,Neutral,Unknown,Low,0
"Jdzd, nee reply nodoke tumba time togondiya dude. #4d88",Insult,Individual,Low,0.33
"Jfbrpgwpk, elli hogidaroo ade tara madthiya, sakkat dumb idiya yaar anta feel agutte. #39f9",Harassment,Individual,High,0.79
"Cyqcx, nee total loser tara idiya yaar. #d01a",Insult,Individual,High,0.48
weekend ge yava movie nodona. #abad,Neutral,Group,Low,0.03
"Vufkl, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #1f0a",Harassment,Individual,Low,0.58
"Moimwpznu, cheap comments madbeda ava bagge, group nalli idu sari alla. #41bd",Sexual Harassment,Individual,Low,0.81
"Spzsvoftm, nee full time late bartiya machaa. #742a",Insult,Individual,Low,0.36
"Pdnobciuka, a tara photos haakbeda please, group nalli idu sari alla. #cd8a",Sexual Harassment,Individual,High,0.93
"ninna presentation super aaytu, chennag ide. #a234",Neutral,Group,Low,0.02
"review okay aaytu, tension beda. #c707",Neutral,Group,Low,0
fest practice ge yar yar barthidira. #218d,Neutral,Unknown,Low,0
"5 nimisha nalli join agthini, swalpa wait maadu. #ea7f",Neutral,Individual,Low,0
ivattu class full bore aaytu. #feda,Neutral,Individual,Low,0
"Gdmgoz, nodu careful iru, illa problem agutte, swalpa limit nodu yaar. #c2d8",Threat,Individual,High,0.84
"Yoov, elli hogidaroo ade tara madthiya, sakkat dumb idiya yaar anta feel agutte. #e0ea",Harassment,Individual,Low,0.56
"Qyfwsfxedm, nee ivattu full lazy mode alli idiya machaa. #3d0f",Insult,Individual,Low,0.4
"network sakkath slow ide, once repeat maadu. #d240",Neutral,Unknown,Low,0.02
"Wxrugggt, elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte. #6900",Harassment,Individual,High,0.55
